QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOI,PROP0NOI,OWNYI,OWNYI_,QRENTDDZ,QREN_DDZ,PAYHOASS,PAYH_ASS,PAYCONDO,PAYC_NDO,COOPRG01,COOP_G01,COOPRG02,COOP_G02,COOPRG03,COOP_G03,COOPRG04,COOP_G04,COOPRG05,COOP_G05,COOPRG06,COOP_G06,COOPRG07,COOP_G07,COOPRG08,COOP_G08,COOPRG09,COOP_G09,COOPRG10,COOP_G10,COOPRG11,COOP_G11,HOCORG21,HOCO_G21,HOCORG22,HOCO_G22,HOCORG23,HOCO_G23,HOCORG24,HOCO_G24,HOCORG25,HOCO_G25,HOCORG26,HOCO_G26,HOCORG27,HOCO_G27,HOCORG28,HOCO_G28,HOCORG29,HOCO_G29,HOCORG30,HOCO_G30,HOCORG31,HOCO_G31,REGFEECR,REGF_ECR,COOPSP01,COOP_P01,COOPSP02,COOP_P02,COOPSP03,COOP_P03,COOPSP04,COOP_P04,COOPSP05,COOP_P05,COOPSP06,COOP_P06,COOPSP07,COOP_P07,COOPSP08,COOP_P08,COOPSP09,COOP_P09,COOPSP10,COOP_P10,COOPSP11,COOP_P11,HOCOSP01,HOCO_P01,HOCOSP02,HOCO_P02,HOCOSP03,HOCO_P03,HOCOSP04,HOCO_P04,HOCOSP05,HOCO_P05,HOCOSP06,HOCO_P06,HOCOSP07,HOCO_P07,HOCOSP08,HOCO_P08,HOCOSP09,HOCO_P09,HOCOSP10,HOCO_P10,HOCOSP11,HOCO_P11,SPFEECR,SPFEECR_,RNTEQVX,RNTEQVX_,PROPVALX,PROP_ALX,VAC_OCCQ,VAC__CCQ,VAC_OCCY,VAC__CCY,VAC_SEC,VAC_SEC_,VAC_RNTQ,VAC__NTQ,VAC_RNTY,VAC__NTY,RENTPERD,RENT_ERD,RENTUTIL,RENT_TIL,TIME_RNT,TIME0RNT,TIMESHRI,JCPIRE1X,JCPI_E1X,JCPIRE2X,JCPI_E2X,JCPIRE3X,JCPI_E3X,COOPRG12,COOP_G12,VAC_AVAQ,VAC__VAQ,VAC_AVAY,VAC__VAY,MGOTHPPD,MGOTHPYX,MGOT_PPD,MGOT_PYX,QADLDR3X,QADL_R3X,QADLUMPX,QADOTHX,QADL_MPX,QADOTHX_,QADSASX,QADSASX_,QADSPLX,QADSPLX_
20241,05286424,22,42,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,438,A,E,,A,,A
20241,05286444,39,0,1,01,D,100,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1182,F,110000,D,,A,,A,,A,,A,,A,,A,,A,,A,,3546,F,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286504,15,0,1,01,D,600,D,1.00,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286514,25,0,1,01,D,100,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,H,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2700,D,485000,D,,A,,A,,A,,A,,A,,A,,A,,A,,8100,D,,A,,A,,A,,A,,A,6,150,D,D,,A,,,A,H,,A,,A
20241,05286514,25,1,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,34,A,E,,A,,A
20241,05286514,25,2,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22970,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,4,A,E,,A,,A
20241,05286634,57,0,1,01,D,100,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2500,D,278900,D,,A,,A,,A,,A,,A,,A,,A,,A,,7500,D,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286694,30,0,1,01,D,100,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2000,D,450000,D,,A,,A,,A,,A,,A,,A,,A,,A,,6000,D,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286694,31,0,1,02,D,300,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1200,D,125000,D,100,D,4,D,1,D,100,D,4,D,2,D,2,D,,A,2,,A,0,D,,A,,A,0,D,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286704,28,0,1,01,D,100,D,1.00,D,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21,D,22,D,,A,,A,,A,26,D,,A,,A,,A,30,D,,A,,H,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2700,D,520000,D,,A,,A,,A,,A,,A,,A,,A,,A,,8100,D,,A,,A,,A,,A,,A,1,419,D,D,,A,,,A,H,,A,,A
20241,05286704,28,20,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,205,A,E,,A,,A
20241,05286704,28,41,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,213,A,E,,A,,A
20241,05286704,28,42,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,184,A,E,,A,,A
20241,05286704,28,60,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,26000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,245,A,E,,A,,A
20241,05286704,28,80,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,410,A,E,,A,,A
20241,05286734,28,0,1,01,D,100,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,H,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,3000,D,750000,D,,A,,A,,A,,A,,A,,A,,A,,A,,9000,D,,A,,A,,A,,A,,A,3,600,D,D,,A,,,A,H,,A,,A
20241,05286734,28,20,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,203,A,E,,A,,A
20241,05286734,28,41,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,213,A,E,,A,,A
20241,05286734,28,42,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,184,A,E,,A,,A
20241,05286774,21,0,1,01,D,100,D,1.00,D,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21,D,22,D,,A,24,D,,A,,A,,A,,A,,A,30,D,,A,,H,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2686,F,700000,D,,A,,A,,A,,A,,A,,A,,A,,A,,8058,F,,A,,A,,A,,A,,A,1,180,D,D,,A,,,A,H,,A,,A
20241,05286774,21,20,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,105,A,E,,A,,A
20241,05286774,21,41,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,132,A,E,,A,,A
20241,05286774,21,42,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,71,A,E,,A,,A
20241,05286774,21,61,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,24110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,20,A,E,,A,,A
20241,05286774,21,62,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,24290,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,2,A,E,,A,,A
20241,05286774,21,80,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,210,A,E,,A,,A
20241,05286794,29,0,1,01,D,100,D,1.00,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,3500,D,750000,D,,A,,A,,A,,A,,A,,A,,A,,A,,10500,D,,A,,A,,A,,A,,A,,,A,A,,A,900,,D,A,,A,,A
20241,05286794,30,0,1,02,D,600,D,1.00,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286894,13,0,1,01,D,100,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1500,D,200000,D,,A,,A,,A,,A,,A,,A,,A,,A,,4500,D,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286904,18,0,1,01,D,100,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1200,D,320000,D,,A,,A,,A,,A,,A,,A,,A,,A,,3600,D,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286974,29,0,1,01,D,100,D,0.75,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21,D,22,D,,A,,A,25,D,,A,,A,,A,,A,30,D,,A,,H,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2500,D,400000,D,,A,,A,,A,,A,,A,,A,,A,,A,,7500,D,,A,,A,,A,,A,,A,1,249,D,D,,A,,,A,H,,A,,A
20241,05286974,29,20,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,151,A,E,,A,,A
20241,05286974,29,41,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,156,A,E,,A,,A
20241,05286974,29,42,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,22300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,137,A,E,,A,,A
20241,05286974,29,60,1,,B,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,303,A,E,,A,,A
20241,05286994,16,0,1,01,D,100,D,1.00,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2743,F,500000,D,,A,,A,,A,,A,,A,,A,,A,,A,,8229,F,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
20241,05286994,17,0,1,02,D,400,D,1.00,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,,A,A,,A,,,A,A,,A,,A
