QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,APAPURCH,MJAPPL9_
20241,05343864,2,0,1,210,D,1,D,11,D,218,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05344034,1,0,2,195,D,1,D,11,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05344724,1,0,1,195,D,3,D,01,D,925,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05344724,2,0,1,140,D,3,D,01,D,690,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05344904,1,0,2,140,D,1,D,11,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05346044,1,0,2,120,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05346404,1,0,1,180,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05346944,1,0,1,140,D,1,D,12,D,1287,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05347474,1,0,1,195,D,1,D,12,D,856,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05347924,1,0,1,195,D,1,D,11,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05348174,1,0,1,160,D,1,D,11,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05348274,1,0,1,120,D,1,D,01,D,110,D,,A,50,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05348614,1,0,1,195,D,1,D,01,D,1200,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05348974,1,0,1,120,D,1,D,12,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05349854,1,0,1,140,D,1,D,12,D,1700,D,,A,50,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05350074,1,0,1,100,D,1,D,12,D,744,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05350934,1,0,1,195,D,1,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05351044,1,0,1,140,D,1,D,12,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05352224,1,0,1,195,D,1,D,11,D,2568,D,,A,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05352594,1,0,1,100,D,1,D,11,D,800,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05354224,1,0,1,100,D,1,D,01,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05354344,1,0,1,120,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05354344,2,0,1,100,D,1,D,12,D,600,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05354344,3,0,1,140,D,1,D,12,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05354344,4,0,1,160,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05354344,5,0,1,195,D,1,D,11,D,2300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05354524,1,0,1,140,D,1,D,11,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05355154,1,0,1,120,D,1,D,01,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05355154,2,0,1,195,D,1,D,01,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05355594,1,0,1,220,D,1,D,12,D,,H,,A,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,2,A
20241,05355594,1,1,1,120,D,1,D,12,D,61,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05355594,1,2,1,140,D,1,D,12,D,278,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05355594,1,3,1,195,D,1,D,12,D,318,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05356104,1,0,1,120,D,1,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05357104,1,0,1,160,D,1,D,12,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05357214,1,0,1,100,D,1,D,12,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05357484,2,0,1,100,D,1,D,02,D,745,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05357524,1,0,2,100,D,1,D,12,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05357964,1,0,1,120,D,1,D,12,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05358214,1,0,1,195,D,1,D,02,D,457,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05358984,1,0,1,195,D,1,D,12,D,885,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05359524,1,0,1,100,D,1,D,02,D,950,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05359674,1,0,2,120,D,1,D,12,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05360644,1,0,1,140,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05360644,2,0,1,100,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05360654,1,0,1,160,D,1,D,01,D,2200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05360654,2,0,1,180,D,1,D,01,D,345,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05360664,1,0,1,195,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05360904,1,0,1,195,D,1,D,12,D,650,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05361554,1,0,1,195,D,1,D,01,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05362504,1,0,1,140,D,1,D,01,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05362824,1,0,1,140,D,1,D,01,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05362824,2,0,1,120,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05362824,3,0,1,195,D,1,D,01,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05364354,1,0,1,120,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05364804,1,0,1,140,D,1,D,12,D,860,F,,A,40,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05365864,1,0,1,140,D,1,D,02,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05366584,1,0,1,120,D,1,D,12,D,179,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05366584,2,0,2,120,D,1,D,12,D,179,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05412253,1,0,1,140,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05413313,1,0,1,100,D,1,D,11,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05413323,1,0,1,180,D,1,D,10,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05413323,2,0,1,120,D,1,D,11,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05413453,1,0,1,195,D,1,D,11,D,2600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05413573,1,0,1,120,D,1,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05413703,1,0,1,100,D,1,D,10,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05414093,1,0,1,100,D,1,D,10,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05414093,2,0,1,140,D,1,D,11,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05414593,1,0,2,170,D,1,D,10,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05415033,1,0,1,160,D,1,D,10,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05415343,1,0,1,160,D,1,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05415753,1,0,1,220,D,1,D,11,D,,H,,A,,H,220,D,140,D,,A,,A,,A,,A,,A,,A,,,A
20241,05415753,1,1,1,120,D,1,D,11,D,173,E,,A,20,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05415753,1,2,1,140,D,1,D,11,D,578,E,,A,30,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05415753,1,3,1,195,D,1,D,11,D,1249,E,,A,100,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05416283,1,0,1,140,D,1,D,12,D,700,F,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05416363,1,0,1,140,D,1,D,10,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05416483,1,0,1,120,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05416613,1,0,1,140,D,1,D,10,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05417323,1,0,1,140,D,1,D,12,D,1388,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05420333,1,0,2,195,D,1,D,10,D,698,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05420333,2,0,2,195,D,1,D,10,D,748,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05420333,3,0,2,195,D,1,D,10,D,97,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05421133,1,0,1,120,D,1,D,12,D,97,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05421843,1,0,1,100,D,1,D,12,D,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05422143,1,0,1,100,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05422283,1,0,1,195,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05422493,1,0,1,100,D,1,D,12,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05422873,1,0,1,195,D,1,D,12,D,1028,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05423073,1,0,1,140,D,1,D,10,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05423123,1,0,2,100,D,1,D,10,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05424003,1,0,1,120,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05425543,1,0,1,195,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05425803,1,0,1,120,D,1,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05425963,1,0,2,120,D,1,D,11,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05426803,1,0,1,120,D,1,D,01,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05426803,2,0,1,195,D,1,D,12,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05427993,1,0,1,120,D,1,D,11,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05428013,1,0,1,180,D,1,D,01,D,221,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05428373,1,0,1,140,D,1,D,11,D,2168,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05429243,1,0,2,120,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430083,1,0,1,195,D,1,D,11,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05430353,1,0,1,120,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,1,0,1,120,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,2,0,1,140,D,1,D,11,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,3,0,1,195,D,1,D,11,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,4,0,1,195,D,3,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,5,0,2,220,D,3,D,11,D,,H,,A,,A,140,D,100,D,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,5,1,2,140,D,3,D,11,D,184,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430493,5,2,2,100,D,3,D,11,D,316,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430533,1,0,1,120,D,1,D,11,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05430743,1,0,1,140,D,1,D,01,D,1600,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05430763,1,0,1,100,D,1,D,12,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05431583,1,0,1,195,D,1,D,11,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05431643,1,0,1,180,D,1,D,01,D,189,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05432253,1,0,1,195,D,1,D,01,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05433183,1,0,1,220,D,1,D,11,D,,H,,A,,A,220,D,120,D,,A,,A,,A,,A,,A,,A,,,A
20241,05433183,1,1,1,100,D,1,D,11,D,196,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05433183,1,2,1,120,D,1,D,11,D,104,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05433723,1,0,1,120,D,1,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05434103,1,0,1,100,D,1,D,11,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05434103,2,0,1,160,D,1,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05434573,1,0,1,120,D,1,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05434663,1,0,1,160,D,1,D,12,D,429,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05434663,2,0,1,180,D,1,D,11,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05435043,1,0,1,195,D,1,D,11,D,640,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05435133,1,0,1,195,D,1,D,12,D,983,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05435473,1,0,1,160,D,1,D,01,D,470,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05435733,1,0,1,140,D,1,D,01,D,832,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05437233,1,0,1,195,D,3,D,02,D,3800,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05438133,1,0,1,120,D,1,D,02,D,229,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05438453,1,0,1,120,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05438703,1,0,2,140,D,1,D,12,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05439693,1,0,1,140,D,1,D,12,D,286,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05439883,1,0,1,140,D,1,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05440183,1,0,2,140,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05440983,1,0,1,120,D,1,D,12,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05442053,1,0,1,100,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05443333,1,0,1,195,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05443373,1,0,1,195,D,1,D,01,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05443403,1,0,1,140,D,1,D,02,D,2300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05443663,1,0,1,100,D,1,D,01,D,440,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05444003,1,0,1,195,D,1,D,01,D,500,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05445783,1,0,1,140,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05445993,1,0,2,120,D,1,D,12,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05538182,1,0,1,140,D,1,D,10,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05538692,1,0,1,140,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05538912,1,0,1,195,D,1,D,10,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05539162,1,0,1,195,D,1,D,12,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05539262,1,0,1,140,D,1,D,12,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05539692,1,0,2,195,D,1,D,10,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05540242,1,0,1,160,D,1,D,11,D,1060,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05540362,1,0,1,140,D,1,D,10,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05540402,1,0,1,120,D,1,D,12,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05540782,1,0,1,120,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05540782,2,0,1,100,D,1,D,10,D,825,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05541532,1,0,1,120,D,1,D,12,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05541672,1,0,1,140,D,1,D,12,D,649,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05542162,1,0,1,160,D,1,D,12,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05542562,1,0,1,100,D,1,D,10,D,600,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05543032,1,0,2,195,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05543042,1,0,2,120,D,1,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05543202,1,0,1,140,D,3,D,10,D,1200,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05543912,1,0,1,180,D,1,D,11,D,425,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05544142,1,0,1,195,D,1,D,12,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05544222,1,0,1,120,D,1,D,12,D,149,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05544532,1,0,2,120,D,1,D,10,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05545182,1,0,1,100,D,1,D,10,D,660,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
