QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYB,VEHICYB_,VEHICYR,VEHICYR_,VEHBSNZ,VEHBSNZ_,VEHNEWU,VEHNEWU_,VEHGFTC,VEHGFTC_,VEHPURMO,VEHP_RMO,VEHPURYR,VEHP_RYR,VFINSTAT,VFIN_TAT,TRADEX,TRADEX_,NETPURX,NETPURX_,DNPAYMTX,DNPA_MTX,PRINCIPX,PRIN_IPX,VEHQPMT,VEHQPMT_,PMT1MO,PMT1MO_,PMT1YR,PMT1YR_,PAYMENTX,PAYM_NTX,QINTRSTZ,QINT_STZ,QLOANM1Q,QLOA_M1Q,QBALNM1X,QBAL_M1X,QVINTM1X,QVIN_M1X,QVPRIM1X,QVPR_M1X,QLOANM2Q,QLOA_M2Q,QBALNM2X,QBAL_M2X,QVINTM2X,QVIN_M2X,QVPRIM2X,QVPR_M2X,QLOANM3Q,QLOA_M3Q,QBALNM3X,QBAL_M3X,QVINTM3X,QVIN_M3X,QVPRIM3X,QVPR_M3X,QTRADEX,QTRADEX_,QREIMBRZ,QREI_BRZ,QADITR1X,QADI_R1X,QADITR2X,QADI_R2X,QADITR3X,QADI_R3X,QDNPYMTX,QDNP_MTX,VEHEQTLN,VEHE_TLN,VEHICIB,VEHICIB_,MAKE,MAKE_,OVBPURCH,VFINANCE,FUELTYPE,FUEL_YPE,VPURINDV,VPUR_NDV,VINTRATE,VINT_ATE
20241,05286334,31,0,5,100,D,43,D,,A,1,D,1,D,04,D,2023,D,,A,,A,30000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30000,D,,A,,A,,A,,A,,A,,A,03,D,TOY,D,2,2,1,D,2,D,,A
20241,05286344,26,0,5,110,D,19,D,,A,2,D,1,D,,C,2006,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,2,1,D,2,D,,A
20241,05286344,27,0,5,100,D,24,D,,A,2,D,1,D,,C,2020,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,NIS,D,,2,1,D,1,D,,A
20241,05286374,24,0,5,110,D,31,D,,A,2,D,1,D,,C,2017,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,RAM,D,,1,1,D,2,D,,A
20241,05286424,25,0,5,100,D,32,D,,A,2,D,1,D,,C,2012,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,2,1,D,2,D,,A
20241,05286424,26,0,5,100,D,37,D,,A,1,D,1,D,12,D,2016,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,SUB,D,,1,1,D,2,D,,A
20241,05286444,41,0,5,100,D,28,D,,A,1,D,1,D,,C,2008,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,1,1,D,2,D,,A
20241,05286514,27,0,5,100,D,39,D,,A,2,D,1,D,03,D,2020,D,2,D,,C,,C,,C,,B,,B,,B,,B,,B,,B,,B,,B,,B,237,F,,B,,B,,B,239,F,,B,,B,,B,241,F,,B,0.50,D,143,F,141,F,139,F,,C,2,D,01,D,HON,D,,1,1,D,2,D,,C
20241,05286634,59,0,5,110,D,39,D,,A,1,D,1,D,03,D,2019,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHE,D,2,1,1,D,2,D,,A
20241,05286694,33,0,5,110,D,32,D,,A,1,D,1,D,06,D,2012,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,1,1,D,2,D,,A
20241,05286704,30,0,5,110,D,40,D,,A,2,D,1,D,08,D,2023,D,,A,,A,40000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40000,D,,A,,A,,A,,A,,A,,A,01,D,CAD,D,,2,1,D,2,D,,A
20241,05286734,31,0,5,110,D,39,D,,A,1,D,1,D,07,D,2019,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,JEE,D,2,2,1,D,2,D,,A
20241,05286734,32,0,5,110,D,39,D,,A,1,D,1,D,09,D,2019,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,BMW,D,2,2,1,D,2,D,,A
20241,05286774,23,0,5,110,D,,C,,A,2,D,1,D,04,D,2021,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,MIT,D,,2,1,D,2,D,,A
20241,05286784,19,0,1,100,D,36,D,,A,2,D,1,D,11,D,2017,D,2,D,500,D,16100,D,0,D,15600,D,72,D,12,D,2017,D,250,D,.0480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16100,D,,A,,A,,A,,A,0,D,2,D,01,D,FOR,D,,1,1,D,2,D,.0310,D
20241,05286794,33,0,5,100,D,29,D,,A,1,D,1,D,,C,2009,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HON,D,,1,1,D,2,D,,A
20241,05286794,34,0,5,110,D,37,D,,A,1,D,1,D,12,D,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,LEX,D,,2,1,D,2,D,,A
20241,05286814,15,0,5,100,D,35,D,,A,2,D,1,D,05,D,2023,D,2,D,,A,10600,D,2000,D,8600,D,60,D,07,D,2023,D,186,D,.1070,D,4,D,8269,D,74,D,112,D,5,D,8157,D,73,D,113,D,6,D,8044,D,72,D,114,D,10600,D,,A,74,D,73,D,72,D,2000,D,2,D,01,D,SUB,D,,1,1,D,1,D,.1060,D
20241,05286894,17,0,5,110,D,40,D,,A,2,D,2,D,,C,2021,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,NIS,D,,1,1,D,2,D,,A
20241,05286894,18,0,5,110,D,34,D,,A,2,D,1,D,,C,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHR,D,,2,1,D,2,D,,A
20241,05286894,19,0,4,100,D,22,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,CHE,D,,2,1,D,2,D,,A
20241,05286894,20,0,1,110,D,33,D,,A,2,D,1,D,12,D,2023,D,,A,,A,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,5000,D,,A,,A,,A,,A,,A,,A,04,D,NIS,D,,2,1,D,1,D,,A
20241,05286904,23,0,5,110,D,40,D,,A,1,D,1,D,10,D,2020,D,2,D,,A,,C,0,D,22000,D,48,D,12,D,2020,D,514,D,.0575,D,35,D,6952,D,33,D,481,D,36,D,6471,D,31,D,483,D,37,D,5988,D,29,D,485,D,,B,0.50,D,17,D,16,D,15,D,0,D,2,D,01,D,XXX,T,2,1,1,D,2,D,.0280,D
20241,05286904,24,0,5,110,D,39,D,,A,1,D,1,D,12,D,2019,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,XXX,T,2,1,1,D,2,D,,A
20241,05286904,25,0,5,110,D,10,D,,A,1,D,1,D,10,D,1990,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,XXX,T,,1,1,D,2,D,,A
20241,05286904,26,0,5,110,D,07,D,,A,2,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,04,D,XXX,T,,,1,D,,A,,A
20241,05286904,27,0,1,110,D,44,D,,A,1,D,1,D,01,D,2024,D,2,D,,C,35000,D,2000,D,35000,D,72,D,02,D,2024,D,648,D,.1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35000,D,,A,,A,,A,,A,2000,D,2,D,05,D,XXX,T,2,1,1,D,2,D,,C
20241,05286974,32,0,5,110,D,35,D,,A,2,D,1,D,06,D,2017,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,JEE,D,,1,1,D,2,D,,A
20241,05286974,33,0,5,110,D,35,D,0.60,D,1,D,1,D,03,D,2014,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,GMC,D,,1,1,D,2,D,,A
20241,05286984,23,0,5,100,D,33,D,,A,2,D,1,D,09,D,2016,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,NIS,D,,1,1,D,1,D,,A
20241,05286984,24,0,5,110,D,20,D,,A,2,D,1,D,03,D,2013,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,GMC,D,,1,1,D,2,D,,A
20241,05286984,25,0,1,110,D,05,D,,A,2,D,1,D,10,D,2023,D,,A,,A,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1700,D,,A,,A,,A,,A,,A,,A,03,D,FOR,D,,2,2,D,1,D,,A
20241,05286994,19,0,5,100,D,32,D,,A,2,D,1,D,,C,2016,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,MAZ,D,,2,1,D,2,D,,A
20241,05287004,28,0,5,100,D,21,D,,A,1,D,1,D,04,D,2000,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,SUB,D,,1,1,D,2,D,,A
20241,05287004,29,0,5,110,D,07,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,FOR,D,,2,1,D,1,D,,A
20241,05287004,30,0,5,110,D,37,D,,A,2,D,1,D,,C,2021,D,2,D,,A,19000,D,12000,D,7000,D,60,D,10,D,2021,D,152,D,.1085,D,25,D,4634,D,42,D,110,D,26,D,4524,D,41,D,111,D,27,D,4413,D,40,D,112,D,19000,D,,A,42,D,41,D,40,D,12000,D,2,D,03,D,MIT,D,,1,1,D,1,D,.0350,D
20241,05287024,23,0,5,100,D,33,D,,A,2,D,1,D,08,D,2022,D,2,D,9000,D,16000,D,0,D,6818,D,36,D,09,D,2022,D,220,D,.1000,D,14,D,4587,D,38,D,182,D,15,D,4405,D,37,D,183,D,16,D,4222,D,35,D,185,D,16000,D,,A,38,D,37,D,35,D,0,D,2,D,01,D,LEX,D,,1,1,D,2,D,.1000,D
20241,05287024,24,0,5,110,D,39,D,,A,2,D,1,D,10,D,2022,D,2,D,100,D,35000,D,1000,D,41215,D,84,D,11,D,2022,D,633,D,.0755,D,12,D,36973,D,233,D,400,D,13,D,36572,D,230,D,403,D,14,D,36169,D,228,D,405,D,35000,D,,A,233,D,230,D,228,D,1000,D,2,D,02,D,LEX,D,,1,1,D,2,D,.0900,D
20241,05287044,17,0,5,110,D,36,D,,A,1,D,1,D,,C,2016,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,1,1,D,2,D,,A
20241,05287044,18,0,5,110,D,35,D,,A,1,D,1,D,,C,2018,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,1,1,D,2,D,,A
20241,05287054,24,0,5,110,D,38,D,,A,2,D,1,D,07,D,2021,D,2,D,4500,D,41500,D,5000,D,32500,D,72,D,08,D,2021,D,487,D,.0255,D,27,D,21340,D,45,D,442,D,28,D,20898,D,44,D,443,D,29,D,20456,D,43,D,444,D,41500,D,,A,45,D,44,D,43,D,5000,D,2,D,02,D,CHE,D,,1,1,D,2,D,.0390,D
20241,05287054,25,0,1,100,D,44,D,,A,1,D,1,D,06,D,2023,D,2,D,7000,D,18000,D,0,D,25165,D,72,D,07,D,2023,D,430,D,.0705,D,4,D,24314,D,143,D,287,D,5,D,24026,D,141,D,289,D,6,D,23738,D,139,D,291,D,18000,D,,A,143,D,141,D,139,D,0,D,2,D,03,D,KIA,D,,1,1,D,2,D,.0500,D
20241,05287094,26,0,5,100,D,37,D,,A,2,D,1,D,08,D,2020,D,2,D,,A,16000,D,3000,D,13000,D,60,D,09,D,2020,D,240,D,.0410,D,38,D,5300,D,18,D,222,D,39,D,5078,D,17,D,223,D,40,D,4856,D,17,D,223,D,16000,D,,A,18,D,17,D,17,D,3000,D,2,D,01,D,KIA,D,,1,1,D,2,D,.0350,D
20241,05287094,28,0,5,110,D,37,D,,A,2,D,1,D,06,D,2023,D,2,D,2000,D,21000,D,500,D,30077,D,72,D,07,D,2023,D,530,D,.0815,D,4,D,29093,D,198,D,332,D,5,D,28761,D,195,D,335,D,6,D,28426,D,193,D,337,D,21000,D,,A,198,D,195,D,193,D,500,D,2,D,03,D,GMC,D,,1,1,D,2,D,.1500,D
20241,05287114,27,0,5,110,D,35,D,,A,2,D,1,D,11,D,2017,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,MAZ,D,,2,1,D,2,D,,A
20241,05287114,28,0,5,100,D,27,D,,A,2,D,1,D,02,D,2009,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,TOY,D,,2,1,D,2,D,,A
20241,05287124,15,0,5,110,D,26,D,,A,2,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHR,D,,,1,D,,A,,A
20241,05287124,16,0,5,100,D,37,D,,A,2,D,1,D,06,D,2022,D,2,D,,A,13000,D,2000,D,16071,D,40,D,07,D,2022,D,456,D,.0760,D,16,D,10516,D,67,D,389,D,17,D,10126,D,64,D,392,D,18,D,9734,D,62,D,394,D,13000,D,,A,67,D,64,D,62,D,2000,D,2,D,02,D,FOR,D,,1,1,D,2,D,,C
20241,05287174,12,0,5,110,D,29,D,,A,2,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,,1,D,,A,,A
20241,05287204,30,0,5,110,D,39,D,,A,2,D,1,D,,C,2022,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,GMC,D,,2,1,D,2,D,,A
20241,05287204,31,0,5,110,D,34,D,,A,2,D,1,D,,C,2022,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,2,1,D,2,D,,A
20241,05287224,6,0,1,100,D,31,D,,A,1,D,1,D,04,D,2011,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HON,D,,1,1,D,2,D,,A
20241,05287294,15,0,5,110,D,43,D,,A,1,D,1,D,03,D,2023,D,1,D,1000,D,39000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,39000,D,,A,,A,,A,,A,,A,,A,01,D,TOY,D,2,1,3,D,2,D,,A
20241,05287314,35,0,5,100,D,33,D,,A,2,D,1,D,09,D,2023,D,1,D,1000,D,20000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,20000,D,,A,,A,,A,,A,,A,,A,03,D,,A,,1,1,D,2,D,,A
20241,05287314,36,0,1,110,D,43,D,,A,1,D,1,D,09,D,2023,D,2,D,,A,36000,D,5000,D,24369,D,72,D,11,D,2023,D,401,D,.0575,D,,A,,A,,A,,A,1,D,24369,D,117,D,284,D,2,D,24085,D,115,D,286,D,36000,D,,A,,A,117,D,115,D,5000,D,2,D,04,D,MAZ,D,2,1,1,D,2,D,.0575,D
20241,05287354,21,0,5,100,D,40,D,,A,1,D,1,D,04,D,2020,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHE,D,2,2,1,D,2,D,,A
20241,05287354,22,0,5,100,D,02,D,,A,2,D,1,D,06,D,2022,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,,2,1,D,1,D,,A
20241,05287354,23,0,5,100,D,01,D,,A,2,D,1,D,08,D,2019,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,CHE,D,,2,1,D,1,D,,A
20241,05287364,11,0,5,110,D,42,D,,A,2,D,1,D,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,FOR,D,,2,1,D,2,D,,A
20241,05287414,31,0,5,100,D,32,D,,A,2,D,1,D,05,D,2021,D,2,D,,C,12000,D,0,D,10000,D,60,D,06,D,2021,D,200,D,.0740,D,29,D,5786,D,36,D,164,D,30,D,5622,D,35,D,165,D,31,D,5457,D,34,D,166,D,12000,D,,A,36,D,35,D,34,D,0,D,2,D,01,D,CHE,D,,1,1,D,2,D,,C
20241,05287424,18,0,5,100,D,25,D,,A,2,D,1,D,06,D,2007,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,LEX,D,,2,1,D,1,D,,A
20241,05287424,19,0,1,100,D,39,D,,A,2,D,1,D,12,D,2023,D,,A,,A,35000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35000,D,,A,,A,,A,,A,,A,,A,03,D,LEX,D,,2,1,D,1,D,,A
20241,05287524,26,0,5,110,D,41,D,,A,1,D,1,D,06,D,2021,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,2,1,1,D,2,D,,A
20241,05287524,27,0,5,110,D,35,D,,A,1,D,1,D,09,D,2015,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,TOY,D,,1,1,D,2,D,,A
20241,05287554,25,0,5,100,D,29,D,,A,1,D,1,D,04,D,2009,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,KIA,D,,2,1,D,2,D,,A
20241,05287554,26,0,5,110,D,40,D,,A,2,D,1,D,05,D,2023,D,,A,,A,21000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,21000,D,,A,,A,,A,,A,,A,,A,02,D,MAZ,D,,2,1,D,2,D,,A
20241,05287554,27,0,5,100,D,40,D,,A,2,D,2,D,05,D,2023,D,2,D,,A,20000,D,8000,D,16552,D,60,D,06,D,2023,D,320,D,.0600,D,5,D,15596,D,78,D,242,D,6,D,15354,D,77,D,243,D,7,D,15111,D,76,D,244,D,20000,D,,A,78,D,77,D,76,D,8000,D,2,D,03,D,MAZ,D,,1,1,D,2,D,.0600,D
20241,05287574,16,0,5,100,D,36,D,,A,2,D,1,D,,C,2017,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,TOY,D,,2,1,D,2,D,,A
