QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_,TELPURCH,TELMOBI,TELMOBI_,TELLAND,TELLAND_,TELOTHER,TELO_HER
20241,05286504,23,0,1,,A,,A,,A,1,D,2,D,,A,30,D,30,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05286504,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,2,,A,,A,,A
20241,05286544,21,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,47,D,47,D,47,D,,A,,A,,A,,A,1,D,3,,A,,A,,A
20241,05286634,60,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,55,D,55,D,55,D,,A,1,D,1,,A,,A,,A
20241,05286634,61,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,55,D,55,D,55,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05286694,36,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,31,D,31,D,31,D,,A,,A,,A,,A,1,D,2,,A,,A,,A
20241,05286694,37,0,1,,A,,A,,A,1,D,2,D,,A,57,D,57,D,57,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,2,,A,,A,,A
20241,05286694,38,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,129,D,129,D,129,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05286704,34,0,1,,A,1,D,,A,1,D,1,D,,A,87,E,86,E,89,E,170,E,170,E,168,E,108,E,109,E,108,E,,A,,A,,A,2,D,1,D,3,,A,,A,,A
20241,05286704,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,265,D,265,D,265,D,,A,1,D,2,,A,,A,,A
20241,05286734,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,150,D,150,D,,A,1,D,2,,A,,A,,A
20241,05286734,41,0,1,,A,,A,,A,1,D,1,D,,A,111,E,110,E,110,E,154,E,155,E,155,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1,,A,,A,,A
20241,05286774,24,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,,A,,A,,A,1,D,3,,A,,A,,A
20241,05286774,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,2,,A,,A,,A
20241,05286784,29,0,1,,A,,A,2,D,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,25,D,25,D,25,D,1,D,1,D,2,,A,,A,,A
20241,05286794,36,0,1,,A,,A,,A,1,D,2,D,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05286794,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,205,D,205,D,205,D,,A,1,D,1,,A,,A,,A
20241,05286814,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,55,D,55,D,55,D,,A,1,D,2,,A,,A,,A
20241,05286894,28,0,1,,A,,A,,A,1,D,1,D,,A,43,E,42,E,42,E,67,E,68,E,68,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1,,A,,A,,A
20241,05286894,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,225,D,225,D,225,D,,A,1,D,1,,A,,A,,A
20241,05286904,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D,2,,A,,A,,A
20241,05286904,29,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,164,D,164,D,164,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05286974,36,0,1,0.25,D,1,D,,A,1,D,1,D,,A,44,E,46,E,47,E,87,E,87,E,86,E,57,E,55,E,55,E,,A,,A,,A,2,D,1,D,1,,A,,A,,A
20241,05286984,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,38,D,33,D,,A,1,D,3,,A,,A,,A
20241,05286984,30,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,110,D,110,D,110,D,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05286994,23,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,2,,A,,A,,A
20241,05286994,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,2,,A,,A,,A
20241,05287004,33,0,1,,A,1,D,,A,1,D,2,D,,A,58,E,58,E,58,E,,A,,A,,A,52,E,52,E,52,E,,A,,A,,A,2,D,1,D,2,,A,,A,,A
20241,05287004,34,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,166,D,167,D,172,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05287004,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,84,D,84,D,84,D,,A,1,D,2,,A,,A,,A
20241,05287004,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,41,D,41,D,41,D,,A,1,D,3,,A,,A,,A
20241,05287024,26,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05287024,27,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287024,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D,2,,A,,A,,A
20241,05287044,19,0,1,,A,,A,,A,1,D,1,D,,A,86,E,87,E,87,E,139,E,138,E,138,E,,A,,A,,A,,A,,A,,A,2,D,2,D,3,,A,,A,,A
20241,05287044,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,125,D,125,D,125,D,,A,1,D,2,,A,,A,,A
20241,05287054,31,0,1,,A,,A,,A,1,D,1,D,,A,54,E,60,E,56,E,108,E,102,E,106,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05287054,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,110,D,110,D,110,D,,A,1,D,2,,A,,A,,A
20241,05287094,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,117,D,117,D,117,D,,A,1,D,2,,A,,A,,A
20241,05287094,31,0,1,,A,,A,,A,1,D,2,D,,A,88,D,88,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05287114,34,0,1,,A,,A,,A,1,D,2,D,,A,63,D,63,D,63,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287114,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,65,D,65,D,,A,1,D,1,,A,,A,,A
20241,05287124,19,0,1,,A,,A,2,D,1,D,2,D,,A,67,E,67,E,67,E,,A,,A,,A,,A,,A,,A,71,E,71,E,71,E,2,D,1,D,3,,A,,A,,A
20241,05287144,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D,1,,A,,A,,A
20241,05287144,18,0,1,,A,,A,,A,1,D,1,D,,A,42,E,42,E,42,E,78,E,78,E,78,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1,,A,,A,,A
20241,05287204,39,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D,1,,A,,A,,A
20241,05287204,40,0,1,,A,,A,,A,1,D,2,D,,A,90,D,90,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,2,,A,,A,,A
20241,05287314,39,0,1,,A,,A,,A,1,D,2,D,,A,65,D,65,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287314,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,1,,A,,A,,A
20241,05287314,41,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D,1,,A,,A,,A
20241,05287354,24,0,1,,A,,A,,A,1,D,1,D,,A,105,E,105,E,105,E,195,E,195,E,195,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05287364,12,0,1,,A,,A,,A,1,D,1,D,,A,88,E,91,E,91,E,136,E,133,E,133,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05287414,40,0,1,,A,,A,2,D,1,D,2,D,,A,58,E,58,E,58,E,,A,,A,,A,,A,,A,,A,74,E,74,E,74,E,2,D,1,D,2,,A,,A,,A
20241,05287424,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,65,D,65,D,,A,1,D,1,,A,,A,,A
20241,05287524,32,0,1,,A,,A,,A,1,D,1,D,,A,75,D,75,D,75,D,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,,A,,A,,A
20241,05287524,33,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,125,D,125,D,125,D,,A,1,D,1,,A,,A,,A
20241,05287524,34,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,75,D,75,D,75,D,,A,1,D,1,,A,,A,,A
20241,05287554,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,52,D,52,D,,A,1,D,1,,A,,A,,A
20241,05287554,30,0,1,,A,,A,,A,1,D,1,D,,A,69,E,69,E,69,E,111,E,111,E,111,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1,,A,,A,,A
20241,05287574,19,0,1,,A,,A,,A,1,D,2,D,,A,71,D,71,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287614,24,0,1,,A,1,D,,A,1,D,2,D,,A,39,E,38,E,40,E,,A,,A,,A,51,E,52,E,50,E,,A,,A,,A,1,D,1,D,3,,A,,A,,A
20241,05287614,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,10,D,10,D,,A,1,D,1,,A,,A,,A
20241,05287684,10,0,1,,A,,A,,A,1,D,2,D,,A,90,D,90,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05287684,11,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D,2,,A,,A,,A
20241,05287714,40,0,1,,A,,A,,A,1,D,1,D,,A,77,E,77,E,80,E,152,E,152,E,149,E,,A,,A,,A,,A,,A,,A,2,D,2,D,3,,A,,A,,A
20241,05287714,41,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,230,D,230,D,230,D,,A,1,D,1,,A,,A,,A
20241,05287754,14,0,1,,A,,A,,A,1,D,1,D,,A,78,E,81,E,81,E,122,E,119,E,119,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05287754,15,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,184,D,184,D,184,D,,A,1,D,4,,A,,A,,A
20241,05287774,33,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,66,D,66,D,66,D,,A,1,D,1,,A,,A,,A
20241,05287774,34,0,1,,A,,A,,A,1,D,2,D,,A,77,D,77,D,77,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287804,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D,,,A,,A,,A
20241,05287804,31,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,,A,1,D,,,A,,A,,A
20241,05287804,32,0,1,,A,,A,,A,1,D,1,D,,A,23,E,23,E,23,E,37,E,37,E,37,E,,A,,A,,A,,A,,A,,A,2,D,2,D,3,,A,,A,,A
20241,05287834,42,0,1,,A,1,D,,A,1,D,1,D,,A,94,E,96,E,98,E,148,E,146,E,144,E,8,E,8,E,8,E,,A,,A,,A,1,D,1,D,1,,A,,A,,A
20241,05287874,19,0,1,,A,,A,2,D,2,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,108,D,0,D,0,D,,A,1,D,2,,A,,A,,A
20241,05287874,20,0,1,,A,,A,2,D,1,D,2,D,,A,209,E,121,E,118,E,,A,,A,,A,,A,,A,,A,286,E,164,E,167,E,2,D,1,D,1,,A,,A,,A
20241,05287874,21,0,1,,A,,A,,A,1,D,2,D,1,D,140,D,140,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287894,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D,2,,A,,A,,A
20241,05287894,37,0,1,,A,,A,,A,1,D,2,D,,A,76,D,76,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05287944,19,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,130,D,130,D,,A,1,D,2,,A,,A,,A
20241,05287994,20,0,1,,A,,A,2,D,1,D,2,D,,A,20,D,20,D,20,D,,A,,A,,A,,A,,A,,A,25,D,25,D,25,D,1,D,1,D,3,,A,,A,,A
20241,05288104,24,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,83,D,83,D,83,D,,A,,A,,A,,A,1,D,3,,A,,A,,A
20241,05288114,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,180,D,180,D,,A,1,D,2,,A,,A,,A
20241,05288114,25,0,1,,A,,A,,A,1,D,2,D,,A,98,D,98,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288124,34,0,1,,A,,A,,A,1,D,1,D,,A,81,E,81,E,81,E,168,E,168,E,168,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1,,A,,A,,A
20241,05288174,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D,1,,A,,A,,A
20241,05288214,33,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288214,34,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,28,D,28,D,28,D,,A,,A,,A,,A,1,D,3,,A,,A,,A
20241,05288254,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,220,D,220,D,220,D,,A,1,D,3,,A,,A,,A
20241,05288254,17,0,1,,A,,A,,A,1,D,2,D,,A,65,D,65,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288254,18,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,88,D,88,D,88,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288264,31,0,1,,A,,A,2,D,1,D,2,D,,A,69,E,24,E,71,E,,A,,A,,A,,A,,A,,A,84,E,29,E,82,E,2,D,1,D,4,,A,,A,,A
20241,05288334,15,0,1,,A,,A,2,D,1,D,1,D,,A,28,E,32,E,32,E,71,E,68,E,68,E,,A,,A,,A,51,E,50,E,50,E,2,D,1,D,1,,A,,A,,A
20241,05288354,43,0,1,,A,,A,2,D,2,D,1,D,,A,,A,,A,,A,178,E,168,E,178,E,,A,,A,,A,182,E,192,E,182,E,2,D,1,D,1,,A,,A,,A
20241,05288404,26,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05288404,27,0,1,,A,,A,,A,1,D,2,D,,A,55,D,55,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05288404,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,115,D,115,D,115,D,,A,1,D,1,,A,,A,,A
20241,05288494,30,0,1,,A,,A,,A,1,D,2,D,,A,63,D,63,D,63,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288494,31,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,93,D,93,D,93,D,,A,1,D,3,,A,,A,,A
20241,05288544,36,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,140,D,140,D,140,D,,A,1,D,2,,A,,A,,A
20241,05288544,37,0,1,,A,,A,,A,1,D,2,D,,A,190,D,190,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288604,18,0,1,,A,,A,,A,1,D,1,D,,A,30,G,45,G,35,G,78,G,120,G,90,G,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05288624,9,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,78,D,78,D,78,D,,A,1,D,2,,A,,A,,A
20241,05288664,36,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05288664,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D,2,,A,,A,,A
20241,05288674,39,0,1,,A,,A,,A,1,D,2,D,,A,10,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05288674,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,184,D,184,D,184,D,,A,1,D,1,,A,,A,,A
20241,05288694,30,0,1,,A,1,D,,A,1,D,2,D,,A,38,E,37,E,38,E,,A,,A,,A,56,E,57,E,56,E,,A,,A,,A,2,D,1,D,2,,A,,A,,A
20241,05288694,31,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,122,D,122,D,122,D,,A,1,D,1,,A,,A,,A
20241,05288714,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,69,D,69,D,69,D,,A,1,D,2,,A,,A,,A
20241,05288714,25,0,1,,A,,A,,A,1,D,1,D,,A,71,E,69,E,70,E,129,E,131,E,130,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05288744,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,45,D,45,D,,A,1,D,1,,A,,A,,A
20241,05288764,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,120,D,120,D,,A,1,D,2,,A,,A,,A
20241,05288854,18,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,,A,,A,,A,1,D,3,,A,,A,,A
20241,05288854,19,0,1,,A,,A,,A,1,D,2,D,,A,90,D,90,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288854,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,36,D,36,D,36,D,,A,1,D,2,,A,,A,,A
20241,05288864,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,130,D,130,D,,A,1,D,2,,A,,A,,A
20241,05288864,17,0,1,,A,,A,,A,1,D,2,D,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05288884,46,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288884,47,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,81,D,107,D,110,D,,A,1,D,2,,A,,A,,A
20241,05288894,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D,2,,A,,A,,A
20241,05288894,26,0,1,,A,,A,,A,1,D,2,D,,A,52,D,52,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05288944,17,0,1,,A,,A,,A,1,D,1,D,1,D,55,E,0,D,0,D,143,E,0,D,0,D,,A,,A,,A,,A,,A,,A,2,D,2,D,3,,A,,A,,A
20241,05288944,18,0,1,,A,,A,,A,1,D,1,D,1,D,0,D,45,E,46,E,0,D,118,E,117,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05288944,19,0,1,,A,,A,2,D,1,D,2,D,,A,79,E,82,E,82,E,,A,,A,,A,,A,,A,,A,104,E,101,E,101,E,2,D,1,D,2,,A,,A,,A
20241,05288954,52,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,61,D,61,D,61,D,,A,1,D,1,,A,,A,,A
20241,05288954,53,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,180,D,180,D,,A,1,D,1,,A,,A,,A
20241,05288954,54,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,29,D,29,D,29,D,,A,,A,,A,,A,1,D,3,,A,,A,,A
20241,05288954,55,0,1,,A,1,D,,A,1,D,2,D,,A,41,E,41,E,41,E,,A,,A,,A,52,E,52,E,52,E,,A,,A,,A,2,D,1,D,1,,A,,A,,A
