QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20241,05364564,15,0,5,01,D,105,D,2022,D,,A,36,D,02,D,469,D,3,D,,A,18000,D,1000,D,,A,,A,469,D,469,D,469,D,,A,,A,,A,1000,D,,A,D,,A,2022,D,LEX
20241,05364564,16,0,5,02,D,105,D,2021,D,,A,36,D,06,D,281,D,3,D,,A,,A,,A,,A,,A,281,D,281,D,281,D,,A,,A,,A,,A,,A,D,,A,2021,D,NIS
20241,05364694,12,0,5,01,D,105,D,2021,D,,A,,C,03,F,,C,3,D,,A,,A,,A,,A,,A,264,F,264,F,264,F,,A,,A,,A,,A,,A,D,,A,2021,D,KIA
20241,05365524,8,0,5,01,D,105,D,,C,,A,60,D,09,D,427,D,3,D,,A,,A,500,D,,A,,A,427,D,427,D,427,D,,A,,A,,A,500,D,,A,D,,A,2016,D,TOY
20241,05366444,16,0,5,02,D,105,D,2021,D,,A,36,D,02,F,359,D,3,D,,A,,A,,A,,A,,A,359,D,359,D,359,D,,A,,A,,A,,A,,A,D,,A,2021,D,JEE
20241,05366774,19,0,5,01,D,105,D,2022,D,,A,36,D,03,D,808,D,3,D,,A,4500,D,,A,,A,,A,808,D,808,D,808,D,,A,,A,,A,,A,,A,D,,A,2022,D,AUD
20241,05411903,22,0,5,01,D,105,D,2022,D,,A,60,D,09,D,573,D,3,D,,A,,A,,A,,A,,A,573,D,573,D,573,D,,A,,A,,A,,A,,A,D,,A,2021,D,HYU
20241,05412043,17,0,1,01,D,105,D,2024,D,,A,36,D,01,D,620,D,3,D,,A,1000,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,1000,D,,A,D,,A,2024,D,HON
20241,05412943,12,0,1,01,D,105,D,2021,D,,A,36,D,08,D,430,D,3,D,,A,,A,5000,D,,A,,A,430,D,430,D,430,D,,A,,A,,A,5000,D,,A,D,,A,2021,D,VOK
20241,05413063,21,0,5,01,D,105,D,2021,D,,A,36,D,10,D,400,D,3,D,,A,,C,1000,D,,A,,A,400,D,400,D,400,D,,A,,A,,A,1000,D,,A,D,,A,2021,D,KIA
20241,05413543,15,0,5,01,D,105,D,2023,D,,A,,B,07,F,,B,3,D,,A,,A,,A,,A,,A,300,F,300,F,300,F,,A,,A,,A,,A,,A,D,,A,2020,F,BMW
20241,05413543,16,0,5,02,D,105,D,2023,D,,A,,B,12,D,,B,3,D,,A,,A,,A,,A,,A,499,F,499,F,499,F,,A,,A,,A,,A,,A,D,,A,2022,D,BMW
20241,05415693,16,0,5,01,D,105,D,2022,D,,A,36,D,03,F,220,D,3,D,,A,,A,1000,D,,A,,A,220,D,220,D,220,D,,A,,A,,A,1000,D,,A,D,,A,2022,D,HON
20241,05417133,7,0,4,01,D,105,D,2021,D,,A,36,D,07,D,430,D,3,D,,A,,A,6000,D,,A,,A,430,D,430,D,430,D,,A,,A,,A,6000,D,,A,D,,A,2021,D,VOK
20241,05417543,17,0,5,01,D,105,D,2021,D,,A,24,D,12,D,850,D,3,D,,A,,A,,A,,A,,A,850,D,850,D,850,D,,A,,A,,A,,A,,A,D,,A,2021,D,DOD
20241,05418183,8,0,5,01,D,105,D,2020,D,,A,39,D,07,D,467,D,3,D,,A,,A,2400,D,,A,,A,467,D,467,D,467,D,,A,,A,,A,2400,D,,A,D,,A,2020,D,BUI
20241,05419333,12,0,5,01,D,105,D,2023,D,,A,18,D,04,D,308,D,3,D,,A,,C,500,D,,A,,A,308,D,308,D,308,D,,A,,A,,A,500,D,,A,D,,A,2023,D,NIS
20241,05419333,13,0,5,02,D,105,D,2022,D,,A,36,D,11,F,300,D,3,D,,A,,C,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2022,D,SUB
20241,05419493,16,0,5,02,D,105,D,2024,D,,A,36,D,08,D,705,D,3,D,,A,,A,4000,D,,A,,A,705,D,705,D,705,D,,A,,A,,A,4000,D,,A,D,,A,2023,D,HON
20241,05421493,14,0,1,01,D,105,D,2023,D,,A,36,D,10,F,400,D,3,D,,A,,A,,C,,A,,A,400,D,400,D,400,D,,A,,A,,A,2000,F,,A,D,,A,2023,D,HON
20241,05421503,15,0,1,01,D,105,D,2024,D,.90,D,36,D,12,D,700,D,3,D,,A,,A,3000,D,,A,,A,,A,,A,700,D,,A,,A,,A,3000,D,,A,D,,A,2023,D,LEX
20241,05421883,14,0,1,01,D,105,D,2023,D,,A,24,D,02,D,1400,D,3,D,,A,,A,,A,,A,,A,1400,D,1400,D,1400,D,,A,,A,,A,,A,,A,D,,A,2023,D,HON
20241,05422433,16,0,5,01,D,105,D,2020,D,,A,36,D,12,D,279,D,3,D,,A,,C,4000,D,,A,12,D,279,D,279,D,279,D,,A,,A,,A,4000,D,,A,D,,A,2020,D,HON
20241,05422983,21,0,5,01,D,105,D,2022,D,,A,39,D,05,D,260,D,3,D,,A,6000,D,,A,,A,,A,260,D,260,D,260,D,,A,,A,,A,,A,,A,D,,A,2022,D,KIA
20241,05422983,22,0,5,02,D,105,D,2020,D,,A,39,D,01,D,360,D,3,D,,A,,A,,A,,A,,A,360,D,360,D,360,D,,A,,A,,A,,A,,A,D,,A,2020,D,VOK
20241,05423143,10,0,1,01,D,105,D,2023,D,,A,36,D,03,D,391,D,3,D,,A,,A,,A,,A,,A,391,D,391,D,391,D,,A,,A,,A,,A,,A,D,,A,2023,D,TOY
20241,05423153,13,0,5,01,D,105,D,2023,D,,A,36,D,03,D,700,D,3,D,,A,,A,3000,D,,A,,A,700,D,700,D,700,D,,A,,A,,A,3000,D,,A,D,,A,2023,D,VOV
20241,05423973,10,0,1,01,D,105,D,2024,D,,A,36,D,07,D,470,D,3,D,,A,,A,4300,D,,A,,A,470,D,470,D,470,D,25,D,25,D,25,D,4300,D,,A,D,,A,2023,D,SUB
20241,05423973,11,0,1,02,D,105,D,2024,D,,A,36,D,07,D,470,D,3,D,,A,,A,4300,D,,A,,A,470,D,470,D,470,D,25,D,25,D,25,D,4300,D,,A,D,,A,2023,D,SUB
20241,05424233,9,0,5,01,D,105,D,2019,D,,A,36,D,06,D,575,D,3,D,,A,,C,2000,D,,A,,A,575,D,575,D,575,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,LEX
20241,05424673,19,0,5,01,D,105,D,2023,D,,A,39,D,03,D,578,D,3,D,,A,7000,D,,A,,A,,A,578,D,578,D,578,D,,A,,A,,A,,A,,A,D,,A,2023,D,TOY
20241,05426173,15,0,5,01,D,105,D,2023,D,,A,,C,01,F,900,D,3,D,,A,,A,,A,,A,,A,900,D,900,D,900,D,,A,,A,,A,,A,,A,D,,A,2023,D,JAG
20241,05426173,16,0,5,02,D,105,D,2023,D,,A,,C,08,F,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2023,D,MAZ
20241,05426863,15,0,5,01,D,105,D,2022,D,,A,60,D,09,D,446,D,3,D,,A,,A,1000,D,1000,D,,A,446,D,446,D,446,D,,A,,A,,A,0,D,,A,D,,A,2022,D,HON
20241,05427683,17,0,5,01,D,105,D,2021,D,,A,36,D,04,D,302,D,3,D,,A,,C,,A,,A,12,D,302,D,302,D,,A,,A,,A,,A,,A,,A,D,,A,2021,D,HYU
20241,05427683,18,0,1,02,D,105,D,2024,D,,A,36,D,01,D,401,D,3,D,,A,1300,D,2000,D,,A,,A,,A,,A,401,D,,A,,A,,A,2000,D,,A,D,,A,2024,D,HYU
20241,05429513,10,0,5,01,D,105,D,2024,D,,A,,C,10,D,680,D,3,D,,A,2500,D,,A,,A,,A,680,D,680,D,680,D,,A,,A,,A,,A,,A,D,,A,2023,D,TOY
20241,05430483,8,0,1,01,D,105,D,2022,D,,A,48,D,04,D,150,D,3,D,,A,,A,,C,,A,,A,150,D,150,D,150,D,,A,,A,,A,,B,,A,D,,A,2022,D,KIA
20241,05431083,13,0,5,01,D,105,D,2020,D,,A,42,D,06,D,276,D,3,D,,A,,A,5000,D,,A,,A,276,D,276,D,276,D,,A,,A,,A,5000,D,,A,D,,A,2020,D,HON
20241,05431263,14,0,5,01,D,105,D,2021,D,,A,36,D,01,D,354,D,3,D,,A,,A,3000,D,,A,01,D,354,D,354,D,354,D,,A,,A,,A,3000,D,,A,D,,A,2021,D,GMC
20241,05432253,10,0,5,01,D,105,D,2023,D,,A,36,D,03,D,526,D,3,D,,A,,C,,A,,A,,A,526,D,526,D,526,D,,A,,A,,A,,A,,A,D,,A,2022,D,GMC
20241,05432323,18,0,5,01,D,105,D,2021,D,,A,36,D,08,D,809,D,3,D,,A,,A,,A,,A,,A,809,D,809,D,809,D,,A,,A,,A,,A,,A,D,,A,2021,D,BMW
20241,05432323,19,0,5,02,D,105,D,2021,D,,A,39,D,10,D,726,D,3,D,,A,,A,,A,,A,01,D,726,D,726,D,726,D,,A,,A,,A,,A,350,D,D,,A,2020,D,JEE
20241,05432323,20,0,1,03,D,105,D,2024,D,,A,36,D,01,D,843,D,3,D,,A,,A,,A,,A,,A,,A,,A,843,D,,A,,A,,A,,A,,A,D,,A,2024,D,BMW
20241,05432383,25,0,5,01,D,105,D,2023,D,,A,36,D,10,D,650,D,3,D,,A,,A,3500,D,,A,,A,650,D,650,D,650,D,,A,,A,,A,3500,D,,A,D,,A,2022,D,HYU
20241,05433293,8,0,1,01,D,105,D,2021,D,,A,36,D,08,D,289,D,3,D,,A,9000,D,,A,,A,,A,289,D,289,D,289,D,,A,,A,,A,,A,,A,D,,A,2021,D,HON
20241,05433573,26,0,5,01,D,105,D,2022,D,,A,36,D,01,F,783,D,3,D,,A,,A,,C,,A,,A,783,D,783,D,783,D,265,D,265,D,265,D,,B,,A,D,,A,2022,D,MRB
20241,05436983,17,0,5,01,D,105,D,2023,D,.50,D,24,D,02,F,,C,3,D,,A,,A,,A,,A,,A,643,F,643,F,643,F,,A,,A,,A,,A,,A,D,,A,2023,D,VOK
20241,05436983,18,0,5,02,D,105,D,2024,D,,A,36,D,10,D,,C,3,D,,A,,A,1500,D,,A,,A,211,F,211,F,211,F,,A,,A,,A,1500,D,,A,D,,A,2023,D,SUB
20241,05437303,7,0,1,01,D,105,D,2022,D,,A,36,D,01,F,250,D,3,D,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2022,D,CHE
20241,05437303,8,0,1,02,D,105,D,2022,D,,A,36,D,01,D,250,D,3,D,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2022,D,CHE
20241,05437303,9,0,1,03,D,105,D,2023,D,,A,36,D,01,D,255,D,3,D,,A,,A,,A,,A,,A,255,D,255,D,255,D,,A,,A,,A,,A,,A,D,,A,2022,D,CHE
20241,05437943,21,0,5,01,D,105,D,2021,D,,A,36,D,03,D,423,D,3,D,,A,,A,423,D,,A,02,D,423,D,423,D,423,D,,A,,A,,A,423,D,,A,D,,A,2021,D,CHE
20241,05437943,22,0,5,02,D,105,D,2023,D,,A,48,D,05,D,507,D,3,D,,A,,A,507,D,,A,,A,507,D,507,D,507,D,,A,,A,,A,507,D,,A,D,,A,2023,D,DOD
20241,05437943,23,0,1,03,D,105,D,2024,D,,A,35,D,02,D,479,D,3,D,,A,,A,1500,D,,A,,A,,A,,A,479,D,,A,,A,,A,1500,D,,A,D,,A,2024,D,MAZ
20241,05438163,13,0,5,01,D,105,D,2023,D,,A,,C,09,F,,C,3,D,,A,,A,,A,,A,12,D,500,F,500,F,500,F,,A,,A,,A,,A,,A,D,,A,2022,D,GEN
20241,05438573,16,0,5,01,D,105,D,2019,D,,A,36,D,12,D,264,D,3,D,,A,,A,,C,,A,,A,264,D,264,D,264,D,,A,,A,,A,,B,,A,D,,A,2022,D,CHE
20241,05438573,17,0,5,02,D,105,D,2021,D,,A,,C,07,F,350,D,7,D,,A,,A,,C,,A,,A,,A,,A,,A,,A,,A,,A,,B,,A,D,,A,2021,D,HYU
20241,05439213,17,0,5,01,D,105,D,2020,D,,A,36,D,08,D,300,D,3,D,,A,,A,2000,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,2000,D,,A,D,,A,2020,D,NIS
20241,05439503,13,0,5,01,D,105,D,2021,D,,A,39,D,09,D,352,D,3,D,,A,,A,,A,,A,,A,352,D,352,D,352,D,,A,,A,,A,,A,,A,D,,A,2021,D,BUI
20241,05439563,9,0,5,01,D,105,D,2021,D,.10,D,36,D,05,D,400,D,3,D,,A,16800,D,2600,D,,A,02,D,400,D,400,D,400,D,140,D,140,D,140,D,2600,D,,A,D,,A,2021,D,SUB
20241,05439613,15,0,5,01,D,105,D,2022,D,,A,36,D,03,D,200,D,3,D,,A,,A,3500,D,,A,,A,200,D,200,D,200,D,,A,,A,,A,3500,D,,A,D,,A,2023,D,VOK
20241,05439743,14,0,5,02,D,105,D,2023,D,,A,39,D,10,D,321,D,3,D,,A,,A,3000,D,,A,,A,321,D,321,D,321,D,,A,,A,,A,3000,D,,A,D,,A,2023,D,VOK
20241,05443163,16,0,5,01,D,105,D,2022,D,,A,60,D,06,D,650,D,3,D,,A,,A,,A,,A,,A,650,D,650,D,650,D,,A,,A,,A,,A,,A,D,,A,2023,D,AUD
20241,05443343,17,0,5,01,D,105,D,2020,D,,A,36,D,07,D,190,D,3,D,,A,,C,,A,,A,,A,190,D,190,D,190,D,,A,,A,,A,,A,,A,D,,A,2021,D,HYU
20241,05443343,18,0,5,02,D,105,D,2024,D,,A,36,D,01,D,540,D,3,D,,A,,A,,A,,A,12,D,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2020,D,OLD
20241,05443343,19,0,1,03,D,105,D,2024,D,,A,36,D,01,D,540,D,3,D,,A,,A,,C,,A,,A,,A,540,D,540,D,,A,,A,,A,5000,F,,A,D,,A,2024,D,HON
20241,05443393,7,0,5,01,D,105,D,2023,D,,A,60,D,03,D,895,D,3,D,,A,,A,3000,D,,A,,A,895,D,895,D,895,D,,A,,A,,A,3000,D,,A,D,,A,2023,D,TES
20241,05445663,15,0,5,01,D,105,D,2023,D,,A,36,D,09,D,700,D,3,D,,A,,A,5000,D,,A,,A,700,D,700,D,700,D,,A,,A,,A,5000,D,,A,D,,A,2023,D,KIA
20241,05445753,15,0,1,01,D,105,D,2021,D,,A,39,D,01,D,510,D,3,D,,A,,A,,A,,A,,A,510,D,510,D,510,D,,A,,A,,A,,A,,A,D,,A,2021,D,DOD
20241,05538312,7,0,1,01,D,105,D,2020,D,,A,,C,05,F,500,D,3,D,,A,2000,D,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2021,D,TOY
20241,05540152,36,0,5,01,D,105,D,2023,D,,A,36,D,03,D,320,D,3,D,,A,,C,2000,D,,A,,A,320,D,320,D,320,D,,A,,A,,A,2000,D,,A,D,,A,2023,D,SUB
20241,05540152,37,0,5,02,D,105,D,2023,D,,A,36,D,09,D,,C,3,D,,A,,A,,C,,A,,A,400,F,400,F,400,F,,A,,A,,A,,B,,A,D,,A,2023,D,SUB
20241,05540362,12,0,5,01,D,105,D,2021,D,.50,D,36,D,01,D,741,D,3,D,,A,5000,D,,A,,A,12,F,741,D,741,D,741,D,,A,,A,,A,,A,,A,D,,A,2021,D,FOR
20241,05540362,13,0,1,02,D,105,D,2023,D,.75,D,36,D,01,D,1100,D,3,D,,A,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,1000,D,,A,D,,A,2024,D,FOR
20241,05540662,22,0,5,01,D,105,D,2021,D,,A,48,D,12,D,464,D,3,D,,A,,C,,A,,A,,A,464,D,464,D,464,D,,A,,A,,A,,A,,A,D,,A,2022,D,TOY
20241,05541692,26,0,5,01,D,105,D,2019,D,,A,24,D,08,F,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2020,F,KIA
20241,05542332,19,0,1,01,D,105,D,2023,D,,A,36,D,05,D,319,D,3,D,,A,,A,,A,,A,,A,319,D,319,D,319,D,,A,,A,,A,,A,,A,D,,A,2021,D,CHE
20241,05542452,16,0,5,01,D,105,D,2023,D,,A,24,D,05,D,418,D,3,D,,A,,A,2000,D,,A,11,D,418,D,418,D,,A,,A,,A,,A,2000,D,2200,D,D,,A,2023,D,FOR
20241,05544172,4,0,1,01,D,105,D,,C,,A,,C,12,F,,C,,C,,A,,A,,A,,A,,A,500,F,500,F,500,F,,A,,A,,A,,A,,A,A,,A,2023,F,
