QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20241,05287004,20,0,1,260,D,12,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287004,21,0,1,250,D,10,D,1,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287024,16,0,1,140,D,11,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287024,17,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287054,16,0,1,380,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287094,20,0,1,380,D,13,D,1,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287094,21,0,1,240,D,11,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287094,22,0,1,420,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287114,19,0,1,330,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287114,20,0,1,340,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287144,13,0,1,140,D,11,D,1,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287144,14,0,2,140,D,10,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287144,15,0,2,390,D,10,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287174,10,0,1,390,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287204,21,0,1,140,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287204,22,0,1,330,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287204,23,0,1,240,D,13,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287314,23,0,1,380,D,10,D,1,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287314,24,0,1,380,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287314,25,0,1,240,D,13,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287354,11,0,1,370,D,13,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287354,12,0,2,210,D,10,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287414,24,0,1,240,D,10,D,1,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287414,25,0,1,240,D,12,D,1,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287414,26,0,1,240,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287424,11,0,1,180,D,13,D,1,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287524,18,0,1,380,D,13,D,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287524,19,0,1,240,D,11,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287574,8,0,1,330,D,10,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287574,9,0,1,330,D,11,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287574,10,0,2,330,D,10,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287664,6,0,1,380,D,12,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287664,7,0,1,240,D,12,D,1,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287714,24,0,1,390,D,12,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287774,20,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287804,16,0,1,390,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287874,10,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287894,18,0,1,140,D,10,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287894,19,0,1,380,D,12,D,1,D,475,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287894,20,0,1,370,D,13,D,1,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287954,9,0,1,370,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287954,10,0,1,240,D,13,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288114,10,0,1,330,D,12,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288124,15,0,1,140,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288124,16,0,1,370,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288124,17,0,1,240,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288124,18,0,2,210,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288174,11,0,1,370,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288174,12,0,1,240,D,13,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288174,13,0,1,260,D,13,D,1,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288264,19,0,1,140,D,13,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288264,20,0,1,330,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,25,0,1,140,D,11,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,26,0,1,330,D,12,D,1,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,27,0,1,340,D,11,D,1,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,28,0,1,340,D,12,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,29,0,1,240,D,12,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,30,0,1,260,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288404,17,0,1,140,D,12,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288404,18,0,1,250,D,11,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288494,16,0,1,360,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05288494,17,0,1,370,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288494,18,0,1,330,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288544,21,0,1,150,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288544,22,0,1,370,D,13,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288544,23,0,1,330,D,12,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288604,13,0,1,170,D,12,D,1,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288664,21,0,1,240,D,12,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288664,22,0,2,240,D,10,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288674,20,0,1,240,D,10,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288674,21,0,1,240,D,11,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288674,22,0,1,240,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288674,23,0,1,260,D,12,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288674,24,0,2,140,D,10,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288674,25,0,2,260,D,10,D,1,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288694,15,0,1,240,D,12,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288714,13,0,1,170,D,13,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288714,14,0,1,240,D,11,D,1,D,712,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288714,15,0,1,260,D,11,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288744,10,0,1,150,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288744,11,0,1,330,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288764,16,0,1,330,D,12,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288764,17,0,1,240,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05288854,12,0,1,370,D,13,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288884,28,0,1,330,D,12,D,2,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288884,29,0,1,250,D,10,D,1,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288884,30,0,1,250,D,11,D,1,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288894,14,0,1,330,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288944,9,0,1,140,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288944,10,0,1,340,D,10,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288944,11,0,1,340,D,11,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288944,12,0,1,340,D,12,D,1,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288954,29,0,1,170,D,10,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288954,30,0,1,460,D,11,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05289004,9,0,2,140,D,10,D,1,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289024,16,0,1,390,D,12,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289044,24,0,1,370,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289044,25,0,1,210,D,10,D,1,D,495,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289044,26,0,2,170,D,10,D,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289074,9,0,1,390,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289074,10,0,2,340,D,10,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289114,18,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05289124,20,0,1,260,D,12,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289124,21,0,1,240,D,11,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289154,14,0,1,230,D,13,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289154,15,0,1,390,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289154,16,0,1,240,D,12,D,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289224,6,0,1,390,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289224,7,0,1,330,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289264,6,0,1,140,D,12,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289334,4,0,1,380,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289334,11,0,1,380,D,12,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289334,12,0,1,380,D,11,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289474,12,0,1,210,D,12,D,1,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289474,13,0,1,210,D,12,D,1,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289474,14,0,1,240,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289474,15,0,1,260,D,11,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289474,16,0,1,260,D,12,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289494,31,0,1,330,D,12,D,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05289494,32,0,1,260,D,12,D,1,D,146,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289494,33,0,1,420,D,12,D,1,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289494,34,0,2,240,D,10,D,1,D,238,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289494,35,0,2,250,D,10,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289574,17,0,1,140,D,13,D,2,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289694,12,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289734,8,0,1,230,D,13,D,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289764,26,0,1,380,D,13,D,1,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289764,27,0,2,330,D,10,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289774,21,0,2,360,D,10,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289774,22,0,2,330,D,10,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289774,23,0,2,240,D,10,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289864,19,0,1,260,D,10,D,1,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289864,20,0,1,240,D,12,D,1,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289904,17,0,1,230,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289904,18,0,1,240,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289984,14,0,1,390,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289984,15,0,1,330,D,12,D,2,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289984,16,0,1,240,D,13,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290044,19,0,1,240,D,12,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290054,10,0,2,390,D,10,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290094,13,0,1,170,D,13,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290094,14,0,1,180,D,13,D,1,D,440,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290094,15,0,1,250,D,12,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290094,16,0,2,260,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290144,19,0,2,150,D,10,D,1,D,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05290184,9,0,1,140,D,11,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290184,10,0,1,330,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290194,28,0,1,170,D,10,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290194,29,0,1,150,D,12,D,1,D,18000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290194,30,0,1,250,D,12,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290194,31,0,2,250,D,10,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290234,18,0,1,230,D,13,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290244,26,0,1,140,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290244,27,0,1,170,D,13,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290244,28,0,1,370,D,11,D,1,D,231,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290244,29,0,1,240,D,11,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290244,30,0,1,260,D,12,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,27,0,1,170,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,28,0,1,140,D,11,D,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,3,A
20241,05290254,29,0,1,140,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290254,30,0,1,180,D,13,D,1,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,31,0,1,260,D,12,D,1,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,32,0,1,250,D,12,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,50,0,1,140,D,11,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,51,0,1,140,D,12,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,52,0,1,140,D,12,D,2,D,288,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,53,0,1,180,D,13,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290414,54,0,1,210,D,12,D,1,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,55,0,1,330,D,12,D,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05290414,56,0,1,260,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,57,0,1,250,D,10,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290424,18,0,1,170,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290424,19,0,1,180,D,13,D,1,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290424,20,0,1,265,D,13,D,1,D,,H,250,D,260,D,240,D,,A,,A,,A,,A,,A,,,A
20241,05290424,20,1,1,250,D,13,D,1,D,56,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290424,20,2,1,260,D,13,D,1,D,108,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290424,20,3,1,240,D,13,D,1,D,36,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290444,10,0,1,240,D,11,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290514,23,0,1,390,D,10,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290514,24,0,1,390,D,11,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290514,25,0,1,330,D,10,D,2,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
