NEWID,SEQNO,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR,REC_STAT
05344884,1,0,500,D,,A,0,D,20241,1
05344904,7,0,250,D,100,D,150,D,20241,1
05344964,2,0,1000,D,,A,0,D,20241,1
05344974,2,0,300,D,400,D,100,D,20241,1
05345004,1,0,0,D,,A,0,D,20241,1
05345024,5,0,3000,D,600,D,0,D,20241,1
05345034,1,0,0,D,,A,0,D,20241,1
05345064,2,0,100,D,,A,25,D,20241,1
05345124,5,0,100,D,400,D,0,D,20241,1
05345194,6,0,475,D,0,D,150,D,20241,1
05345214,1,0,0,D,,A,0,D,20241,1
05345254,3,0,0,D,,A,0,D,20241,1
05345284,1,0,0,D,,A,0,D,20241,1
05345304,2,0,380,D,,A,0,D,20241,1
05345324,6,0,145,D,220,D,110,D,20241,1
05345334,2,0,0,D,,A,0,D,20241,1
05345394,2,0,60,D,,A,60,D,20241,1
05345414,1,0,150,D,,A,0,D,20241,1
05345434,6,0,50,D,,A,250,D,20241,1
05345464,3,0,300,D,,A,300,D,20241,1
05345484,5,0,0,D,,A,0,D,20241,1
05345534,1,0,50,D,150,D,0,D,20241,1
05345554,1,0,0,D,0,D,0,D,20241,1
05345584,5,0,300,D,,A,500,D,20241,1
05345594,1,0,100,D,200,D,0,D,20241,1
05345634,4,0,800,D,800,D,500,D,20241,1
05345674,1,0,0,D,,A,0,D,20241,1
05345684,4,0,150,D,,A,70,D,20241,1
05345704,3,0,200,D,,A,300,D,20241,1
05345714,1,0,0,D,,A,0,D,20241,1
05345754,2,0,100,D,300,D,200,D,20241,1
05345764,3,0,0,D,,A,325,D,20241,1
05345814,4,0,40,D,,A,97,D,20241,1
05345844,1,0,0,D,100,D,0,D,20241,1
05345874,1,0,500,D,,A,300,D,20241,1
05345894,1,0,100,D,300,D,0,D,20241,1
05345924,1,0,200,D,,A,0,D,20241,1
05345944,1,0,200,D,,A,0,D,20241,1
05345954,2,0,0,D,,A,0,D,20241,1
05345964,2,0,2000,D,,A,200,D,20241,1
05345974,7,0,300,D,,A,100,D,20241,1
05346014,1,0,0,D,,A,0,D,20241,1
05346034,4,0,500,D,1000,D,0,D,20241,1
05346044,3,0,500,D,300,D,100,D,20241,1
05346074,4,0,90,D,,A,0,D,20241,1
05346094,3,0,60,D,60,D,0,D,20241,1
05346104,1,0,250,D,,A,180,D,20241,1
05346114,1,0,0,D,,A,0,D,20241,1
05346124,1,0,0,D,,A,0,D,20241,1
05346134,1,0,1500,D,,A,0,D,20241,1
05346174,2,0,125,D,,A,150,D,20241,1
05346184,2,0,100,D,,A,0,D,20241,1
05346214,1,0,12,D,,A,0,D,20241,1
05346244,3,0,200,D,200,D,0,D,20241,1
05346264,1,0,250,D,300,D,0,D,20241,1
05346274,1,0,0,D,0,D,0,D,20241,1
05346284,1,0,0,D,,A,0,D,20241,1
05346294,1,0,182,F,75,F,300,F,20241,1
05346344,1,0,200,D,,A,0,D,20241,1
05346364,1,0,700,D,,A,300,D,20241,1
05346384,5,0,300,D,0,D,100,D,20241,1
05346404,7,0,450,D,,A,75,D,20241,1
05346414,1,0,200,D,,A,0,D,20241,1
05346434,1,0,50,D,,A,0,D,20241,1
05346444,1,0,0,D,,A,0,D,20241,1
05346454,2,0,0,D,,A,0,D,20241,1
05346484,1,0,500,D,,A,200,D,20241,1
05346504,1,0,200,D,,A,0,D,20241,1
05346514,1,0,234,D,,A,300,D,20241,1
05346584,1,0,20,D,,A,0,D,20241,1
05346614,2,0,200,D,400,D,70,D,20241,1
05346714,1,0,480,D,,A,0,D,20241,1
05346744,1,0,75,D,200,D,0,D,20241,1
05346794,2,0,50,D,,A,0,D,20241,1
05346824,1,0,0,D,1000,D,600,D,20241,1
05346834,1,0,350,D,,A,0,D,20241,1
05346864,1,0,500,D,,A,0,D,20241,1
05346884,1,0,330,D,,A,0,D,20241,1
05346934,2,0,200,D,,A,0,D,20241,1
05346944,2,0,0,D,150,D,200,D,20241,1
05346984,1,0,120,F,,A,150,F,20241,1
05347064,1,0,500,D,600,D,0,D,20241,1
05347084,3,0,65,D,,A,0,D,20241,1
05347124,1,0,0,D,,A,0,D,20241,1
05347154,1,0,300,D,400,D,200,D,20241,1
05347214,4,0,100,F,0,D,0,D,20241,1
05347244,1,0,200,D,,A,0,D,20241,1
05347264,2,0,300,D,,A,0,D,20241,1
05347304,1,0,300,D,,A,0,D,20241,1
05347344,1,0,0,D,,A,0,D,20241,1
05347364,5,0,0,D,,A,320,D,20241,1
05347384,2,0,120,D,,A,100,D,20241,1
05347424,7,0,350,D,,A,0,D,20241,1
05347434,3,0,200,D,150,D,0,D,20241,1
05347444,2,0,0,D,,A,0,D,20241,1
05347454,1,0,0,D,0,D,0,D,20241,1
05347464,3,0,300,D,,A,200,D,20241,1
05347474,9,0,355,D,,A,0,D,20241,1
05347504,2,0,47,D,,A,0,D,20241,1
05347534,1,0,0,D,300,D,0,D,20241,1
05347574,2,0,300,D,600,D,0,D,20241,1
05347594,1,0,250,D,0,D,0,D,20241,1
05347604,1,0,200,D,,A,0,D,20241,1
05347614,1,0,100,D,,A,0,D,20241,1
05347634,1,0,15,D,,A,0,D,20241,1
05347664,4,0,1000,D,,A,600,D,20241,1
05347764,1,0,250,D,,A,200,D,20241,1
05347814,1,0,100,D,400,D,0,D,20241,1
05347834,1,0,40,D,,A,0,D,20241,1
05347904,2,0,354,D,,A,372,D,20241,1
05347924,2,0,900,D,,A,0,D,20241,1
05347954,2,0,20,D,100,D,0,D,20241,1
05347964,1,0,500,D,60,D,800,D,20241,1
05348004,1,0,200,D,,A,100,D,20241,1
05348014,2,0,196,D,,A,0,D,20241,1
05348074,1,0,0,D,,A,0,D,20241,1
05348164,1,0,50,D,,A,0,D,20241,1
05348174,4,0,500,D,300,D,0,D,20241,1
05348184,3,0,0,D,,A,0,D,20241,1
05348214,1,0,0,D,,A,0,D,20241,1
05348244,3,0,1500,D,300,D,0,D,20241,1
05348254,2,0,0,D,,A,0,D,20241,1
05348274,2,0,500,D,,A,0,D,20241,1
05348324,1,0,150,D,,A,0,D,20241,1
05348334,14,0,250,D,,A,125,D,20241,1
05348404,3,0,0,D,,A,0,D,20241,1
05348424,8,0,0,D,456,D,0,D,20241,1
05348444,3,0,200,D,100,D,0,D,20241,1
05348454,3,0,0,D,,A,0,D,20241,1
05348464,4,0,0,D,,A,0,D,20241,1
05348484,3,0,0,D,,A,0,D,20241,1
05348494,3,0,300,D,,A,0,D,20241,1
05348514,1,0,0,D,0,D,0,D,20241,1
05348524,2,0,250,D,250,D,0,D,20241,1
05348544,15,0,290,D,100,D,28,D,20241,1
05348564,3,0,400,D,600,D,0,D,20241,1
05348574,1,0,60,D,,A,0,D,20241,1
05348614,2,0,500,D,,A,300,D,20241,1
05348634,8,0,200,D,200,D,0,D,20241,1
05348644,1,0,2500,D,,A,600,D,20241,1
05348654,1,0,100,D,,A,200,D,20241,1
05348684,4,0,250,D,400,D,200,D,20241,1
05348694,1,0,0,D,,A,0,D,20241,1
05348724,1,0,250,D,,A,200,D,20241,1
05348754,1,0,0,D,600,D,0,D,20241,1
05348764,1,0,0,D,,A,0,D,20241,1
05348774,1,0,0,D,,A,0,D,20241,1
05348834,1,0,0,D,,A,0,D,20241,1
05348864,2,0,200,D,100,D,150,D,20241,1
05348914,1,0,0,D,,A,0,D,20241,1
05348974,2,0,319,D,,A,16,D,20241,1
05349034,7,0,600,D,,A,300,D,20241,1
05349054,1,0,400,D,,A,150,D,20241,1
05349084,3,0,300,D,200,D,0,D,20241,1
05349124,2,0,150,D,,A,0,D,20241,1
05349134,1,0,0,D,,A,0,D,20241,1
05349164,1,0,0,D,,A,0,D,20241,1
05349204,4,0,500,D,,A,1800,D,20241,1
05349264,1,0,300,D,,A,400,D,20241,1
