QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20241,05423353,48,0,1,105,D,,A,300,D,1,D
20241,05425573,48,0,1,105,D,,A,203,D,1,D
20241,05426583,16,0,1,105,D,,A,114,D,1,D
20241,05427013,21,0,1,105,D,,A,477,D,1,D
20241,05427683,30,0,1,105,D,,A,158,D,1,D
20241,05429713,18,0,1,105,D,,A,410,F,1,D
20241,05432553,18,0,1,105,D,,A,700,D,1,D
20241,05432933,52,0,1,105,D,,A,210,D,2,D
20241,05432933,53,0,1,105,D,,A,398,D,1,D
20241,05433573,35,0,1,105,D,1.0,D,0,D,2,D
20241,05433653,19,0,1,105,D,,A,80,D,2,D
20241,05433703,26,0,1,105,D,,A,111,D,2,D
20241,05433823,29,0,1,105,D,,A,246,D,1,D
20241,05434813,59,0,1,180,D,,A,25,D,2,D
20241,05434863,23,0,1,105,D,,A,500,D,1,D
20241,05435683,33,0,1,105,D,,A,680,D,2,D
20241,05438443,48,0,1,105,D,,A,560,D,1,D
20241,05439253,31,0,1,105,D,,A,100,D,1,D
20241,05439943,31,0,1,105,D,,A,160,D,1,D
20241,05440173,36,0,1,105,D,,A,411,D,1,D
20241,05443793,38,0,1,105,D,,A,200,D,1,D
20241,05444733,45,0,1,105,D,,A,185,D,1,D
20241,05539312,17,0,1,105,D,,A,339,F,2,D
20241,05539692,56,0,1,105,D,,A,120,D,1,D
20241,05542022,18,0,1,105,D,,A,1200,D,1,D
20241,05542782,43,0,1,105,D,,A,350,D,2,D
20241,05543122,21,0,1,105,D,,A,104,D,1,D
20241,05543912,28,0,1,105,D,,A,125,D,2,D
20241,05543912,29,0,1,105,D,,A,450,D,1,D
20241,05544432,41,0,1,105,D,,A,437,D,1,D
20241,05544492,19,0,1,105,D,,A,151,D,1,D
20241,05546512,25,0,1,105,D,,A,350,D,1,D
20241,05546512,26,0,1,105,D,,A,516,D,1,D
20241,05547382,56,0,1,105,D,,A,549,D,1,D
20241,05548352,46,0,1,105,D,,A,75,D,1,D
20241,05548444,23,0,1,105,D,,A,50,D,1,D
20241,05548902,52,0,1,105,D,,A,150,D,1,D
20241,05548982,69,0,1,105,D,,A,251,D,1,D
20241,05549182,55,0,1,105,D,,A,152,D,1,D
20241,05549802,21,0,1,105,D,,A,140,D,1,D
20241,05551412,47,0,1,105,D,,A,20,D,2,D
20241,05551602,25,0,1,105,D,,A,329,F,1,D
20241,05551982,41,0,1,105,D,,A,410,D,1,D
20241,05552812,70,0,1,105,D,,A,339,F,1,D
20241,05553442,21,0,1,105,D,,A,500,D,1,D
20241,05554452,12,0,1,105,D,,A,260,D,2,D
20241,05554612,14,0,1,105,D,,A,900,D,1,D
20241,05555292,20,0,1,105,D,,A,250,D,1,D
20241,05555512,35,0,1,105,D,,A,500,D,1,D
20241,05558502,35,0,1,105,D,,A,650,D,1,D
20241,05558952,27,0,1,105,D,,A,536,D,2,D
20241,05561153,28,0,1,105,D,,A,700,D,1,D
20241,05561592,50,0,1,105,D,,A,400,D,1,D
20241,05561632,15,0,1,105,D,,A,127,D,2,D
20241,05561632,16,0,1,105,D,,A,114,D,2,D
20241,05561732,17,0,1,200,D,,A,120,D,1,D
20241,05565072,16,0,1,105,D,,A,260,D,1,D
20241,05565772,15,0,1,105,D,,A,347,D,1,D
20241,05565922,42,0,1,105,D,,A,210,D,1,D
20241,05566242,11,0,1,105,D,,A,695,D,2,D
20241,05567292,9,0,1,105,D,,A,273,D,1,D
20241,05567372,46,0,1,105,D,,A,700,D,2,D
20241,05567392,26,0,1,105,D,,A,300,D,1,D
20241,05567912,15,0,1,105,D,,A,385,D,2,D
20241,05568022,22,0,1,105,D,,A,500,D,2,D
20241,05568052,34,0,1,135,D,,A,400,D,1,D
20241,05570012,35,0,1,105,D,,A,300,D,1,D
20241,05570132,43,0,1,105,D,,A,100,D,1,D
20241,05570282,37,0,1,160,D,,A,400,D,2,D
20241,05571462,28,0,1,105,D,,A,200,D,1,D
20241,05572872,20,0,1,105,D,,A,400,D,1,D
20241,05574041,32,0,1,105,D,,A,30,D,2,D
20241,05574541,37,0,1,105,D,,A,250,D,1,D
20241,05574541,38,0,1,105,D,1.0,D,0,D,2,D
20241,05575401,27,0,1,105,D,,A,675,D,1,D
20241,05576241,5,0,1,105,D,,A,180,D,1,D
20241,05577561,17,0,1,105,D,,A,250,D,1,D
20241,05580451,14,0,1,105,D,,A,200,D,1,D
20241,05580501,25,0,1,105,D,,A,640,D,1,D
20241,05580651,10,0,1,105,D,,A,500,D,1,D
20241,05580931,37,0,1,120,D,,A,4200,D,2,D
20241,05580971,27,0,1,105,D,,A,377,D,1,D
20241,05581441,23,0,1,105,D,,A,150,D,1,D
20241,05581451,9,0,1,105,D,,A,346,D,2,D
20241,05582021,29,0,1,200,D,,A,30,D,2,D
20241,05583331,21,0,1,105,D,,A,300,D,1,D
20241,05583331,22,0,1,105,D,,A,700,D,2,D
20241,05583941,16,0,1,105,D,,A,130,D,2,D
20241,05584501,18,0,1,105,D,,A,300,D,1,D
20241,05585041,39,0,1,105,D,,A,500,D,1,D
20241,05585671,22,0,1,105,D,,A,1950,D,1,D
20241,05585851,11,0,1,105,D,,A,339,F,2,D
20241,05586001,36,0,1,180,D,,A,244,D,1,D
20241,05586851,25,0,1,105,D,,A,500,D,1,D
20241,05587181,22,0,1,105,D,,A,300,D,1,D
20241,05587391,17,0,1,105,D,,A,300,D,1,D
20241,05588321,13,0,1,105,D,,A,400,D,1,D
20241,05588371,20,0,1,105,D,,A,300,D,1,D
20241,05590041,16,0,1,105,D,,A,150,D,2,D
20241,05590491,20,0,1,105,D,,A,90,D,1,D
20241,05595151,20,0,1,105,D,,A,660,D,1,D
20241,05595351,11,0,1,105,D,,A,150,D,2,D
20241,05596131,8,0,1,105,D,,A,550,D,1,D
20241,05596301,20,0,1,105,D,,A,1000,D,1,D
20241,05596301,21,0,1,105,D,,A,1680,D,1,D
20241,05596601,25,0,1,105,D,,A,265,D,1,D
20241,05597171,35,0,1,105,D,,A,510,D,2,D
20241,05597171,36,0,1,105,D,,A,610,D,2,D
20241,05598031,32,0,1,105,D,,A,100,D,1,D
20241,05598101,27,0,1,105,D,,A,98,D,2,D
20241,05598381,44,0,1,105,D,,A,350,D,1,D
20241,05598531,31,0,1,105,D,,A,550,D,2,D
20241,05598871,10,0,1,105,D,,A,550,D,2,D
20241,05598961,27,0,1,105,D,,A,60,D,1,D
20241,05599411,33,0,1,105,D,,A,316,D,1,D
20241,05600691,28,0,1,105,D,,A,353,D,2,D
20241,05600751,15,0,1,105,D,,A,40,D,2,D
20241,05600801,26,0,1,105,D,,A,258,D,2,D
20241,05602071,29,0,1,105,D,,A,300,D,1,D
20241,05602321,18,0,1,200,D,,A,980,D,1,D
20241,05602421,45,0,1,200,D,,A,175,D,2,D
20241,05602421,46,0,1,200,D,,A,90,D,2,D
20241,05603421,20,0,1,105,D,,A,100,D,1,D
20241,05604071,10,0,1,105,D,,A,600,D,1,D
20241,05604551,11,0,1,105,D,,A,550,D,1,D
20241,05604603,20,0,1,105,D,,A,110,D,2,D
20241,05605151,27,0,1,105,D,,A,400,D,2,D
20241,05605191,22,0,1,105,D,,A,21,D,2,D
20241,05605301,41,0,1,105,D,,A,200,D,1,D
20241,05605881,10,0,1,105,D,,A,400,D,1,D
20241,05606031,10,0,1,105,D,,A,100,D,1,D
20241,05607131,42,0,1,105,D,,A,400,D,1,D
20242,05416394,42,0,1,105,D,,A,100,D,2,D
20242,05416544,37,0,1,165,D,,A,120,D,1,D
20242,05418014,24,0,1,105,D,,A,12,D,2,D
20242,05418714,12,0,1,105,D,,A,104,D,1,D
20242,05419504,19,0,1,125,D,,A,662,D,1,D
20242,05419554,7,0,1,105,D,,A,400,D,1,D
20242,05419554,8,0,1,105,D,,A,350,D,1,D
20242,05420024,18,0,1,105,D,,A,1330,D,1,D
20242,05420764,51,0,1,105,D,,A,500,D,1,D
20242,05422984,39,0,1,105,D,,A,98,D,1,D
20242,05423914,43,0,1,105,D,,A,100,D,2,D
20242,05424624,14,0,1,105,D,,A,100,D,1,D
20242,05425174,42,0,1,105,D,,A,443,D,1,D
20242,05425534,27,0,1,105,D,,A,333,D,1,D
20242,05425574,46,0,1,105,D,,A,180,D,2,D
20242,05426324,35,0,1,105,D,,A,210,D,1,D
20242,05427364,33,0,1,105,D,,A,360,D,2,D
20242,05428094,19,0,1,105,D,,A,100,D,2,D
20242,05428444,13,0,1,105,D,,A,326,D,1,D
20242,05428814,21,0,1,105,D,,A,300,D,1,D
20242,05428854,44,0,1,105,D,,A,25,D,2,D
20242,05430184,43,0,1,105,D,,A,1250,D,1,D
20242,05430874,45,0,1,165,D,,A,320,D,1,D
20242,05430894,35,0,1,105,D,,A,200,D,1,D
20242,05431634,42,0,1,105,D,,A,1800,D,1,D
20242,05432234,40,0,1,105,D,,A,120,D,1,D
20242,05432234,41,0,1,105,D,,A,150,D,1,D
20242,05432904,16,0,1,105,D,,A,325,D,1,D
20242,05433024,30,0,1,105,D,,A,1500,D,1,D
20242,05433024,31,0,1,165,D,,A,2000,D,1,D
20242,05433294,30,0,1,105,D,,A,439,D,1,D
20242,05433384,24,0,1,105,D,,A,128,D,2,D
20242,05434204,26,0,1,105,D,,A,800,D,1,D
20242,05434444,30,0,1,105,D,,A,385,D,1,D
20242,05434674,13,0,1,105,D,,A,150,D,2,D
20242,05434864,23,0,1,105,D,,A,450,D,1,D
20242,05435684,38,0,1,105,D,,A,1000,D,2,D
20242,05436144,45,0,1,105,D,,A,700,D,1,D
20242,05436354,53,0,1,105,D,,A,150,D,2,D
20242,05438304,24,0,1,105,D,,A,150,D,2,D
20242,05440374,34,0,1,105,D,,A,1600,D,2,D
20242,05441124,35,0,1,105,D,,A,96,D,1,D
20242,05441404,30,0,1,105,D,,A,1220,D,1,D
20242,05445074,28,0,1,105,D,,A,422,D,1,D
20242,05446274,22,0,1,105,D,,A,600,D,1,D
20242,05538733,38,0,1,105,D,,A,1275,D,1,D
20242,05539613,40,0,1,105,D,,A,250,D,1,D
20242,05539863,29,0,1,105,D,,A,350,D,1,D
20242,05540363,29,0,1,105,D,,A,455,D,1,D
20242,05541923,30,0,1,105,D,,A,350,D,1,D
20242,05542023,21,0,1,105,D,,A,100,D,2,D
20242,05544433,39,0,1,105,D,,A,554,D,1,D
20242,05544433,40,0,1,105,D,,A,147,D,1,D
20242,05544683,46,0,1,105,D,,A,300,D,1,D
20242,05544993,26,0,1,105,D,,A,170,D,1,D
20242,05545783,14,0,1,105,D,,A,203,D,1,D
20242,05545853,11,0,1,105,D,,A,200,D,1,D
20242,05547113,35,0,1,165,D,,A,1056,D,2,D
20242,05547393,26,0,1,105,D,,A,309,D,1,D
20242,05549883,13,0,1,105,D,,A,430,D,2,D
20242,05550233,31,0,1,105,D,,A,170,D,1,D
20242,05550613,63,0,1,105,D,,A,150,D,1,D
20242,05550653,37,0,1,105,D,,A,189,D,1,D
20242,05552373,33,0,1,105,D,,A,100,D,2,D
20242,05553203,40,0,1,105,D,,A,150,D,1,D
20242,05553203,41,0,1,105,D,,A,150,D,1,D
20242,05554073,17,0,1,105,D,,A,350,D,1,D
20242,05554453,16,0,1,105,D,,A,58,D,2,D
20242,05554733,26,0,1,105,D,,A,1200,D,1,D
20242,05555293,22,0,1,105,D,,A,250,D,1,D
20242,05557693,7,0,1,105,D,,A,1200,D,2,D
20242,05558513,13,0,1,105,D,,A,45,D,2,D
20242,05559203,19,0,1,105,D,,A,79,D,2,D
20242,05559383,17,0,1,105,D,,A,500,D,1,D
20242,05559383,18,0,1,105,D,,A,270,D,1,D
20242,05560253,16,0,1,200,D,,A,200,D,1,D
20242,05561633,26,0,1,105,D,,A,280,D,2,D
20242,05561963,28,0,1,125,D,,A,300,D,2,D
20242,05562723,13,0,1,105,D,,A,400,D,2,D
20242,05563833,25,0,1,105,D,,A,200,D,1,D
20242,05564743,19,0,1,105,D,,A,400,D,1,D
20242,05565393,26,0,1,105,D,,A,260,D,2,D
20242,05565723,45,0,1,105,D,,A,450,D,1,D
20242,05565943,31,0,1,105,D,,A,238,D,1,D
20242,05566313,12,0,1,105,D,1.0,D,0,D,2,D
20242,05567073,35,0,1,105,D,,A,500,D,2,D
20242,05567913,16,0,1,105,D,,A,385,D,2,D
20242,05567913,17,0,1,105,D,,A,999,D,2,D
20242,05568733,46,0,1,105,D,,A,40,D,2,D
20242,05568793,37,0,1,105,D,,A,200,D,2,D
20242,05569223,43,0,1,165,D,,A,1200,D,1,D
20242,05569473,30,0,1,200,D,,A,1030,D,2,D
20242,05570203,26,0,1,165,D,,A,500,D,2,D
20242,05571773,19,0,1,105,D,,A,210,D,1,D
20242,05574042,43,0,1,105,D,,A,20,D,2,D
20242,05574542,34,0,1,105,D,1.0,D,0,D,2,D
20242,05575012,8,0,1,105,D,,A,10,D,1,D
20242,05575902,18,0,1,105,D,,A,150,D,1,D
20242,05576502,37,0,1,105,D,,A,700,D,1,D
20242,05577012,42,0,1,105,D,,A,800,D,1,D
20242,05577252,11,0,1,105,D,,A,176,D,1,D
20242,05579002,12,0,1,105,D,,A,350,D,2,D
20242,05579602,24,0,1,105,D,,A,400,D,1,D
20242,05582492,45,0,1,105,D,,A,650,D,1,D
20242,05583222,33,0,1,105,D,,A,805,D,1,D
20242,05583332,26,0,1,105,D,,A,170,D,1,D
20242,05583442,39,0,1,105,D,,A,200,D,1,D
20242,05583802,16,0,1,105,D,,A,130,D,1,D
20242,05586002,41,0,1,105,D,,A,458,D,1,D
20242,05586622,16,0,1,105,D,,A,262,D,1,D
20242,05588712,19,0,1,105,D,,A,80,D,2,D
20242,05589292,57,0,1,105,D,,A,900,D,2,D
20242,05589412,33,0,1,165,D,,A,140,D,2,D
20242,05592302,26,0,1,165,D,,A,110,D,1,D
20242,05592462,50,0,1,105,D,,A,120,D,1,D
20242,05592752,17,0,1,105,D,,A,256,D,1,D
20242,05592832,20,0,1,105,D,1.0,D,0,D,2,D
20242,05592992,24,0,1,105,D,.10,D,1080,D,2,D
20242,05593152,19,0,1,105,D,,A,909,D,2,D
20242,05593282,18,0,1,105,D,,A,307,D,1,D
20242,05593882,30,0,1,105,D,,A,250,D,1,D
20242,05595342,35,0,1,105,D,,A,525,D,1,D
20242,05595462,38,0,1,200,D,,A,100,D,1,D
20242,05596092,28,0,1,105,D,,A,250,D,1,D
20242,05598412,38,0,1,105,D,,A,500,D,1,D
20242,05599872,16,0,1,165,D,,A,1050,D,2,D
20242,05599882,50,0,1,105,D,,A,800,D,1,D
20242,05600062,23,0,1,105,D,,A,400,D,1,D
20242,05600452,44,0,1,105,D,,A,25,D,2,D
20242,05600752,31,0,1,105,D,,A,30,D,2,D
20242,05601022,36,0,1,105,D,,A,60,D,2,D
20242,05601272,23,0,1,105,D,,A,110,D,1,D
20242,05601272,24,0,1,105,D,,A,110,D,2,D
20242,05601342,19,0,1,125,D,,A,1500,D,1,D
20242,05601392,47,0,1,105,D,,A,1100,D,1,D
20242,05601742,28,0,1,105,D,,A,300,D,1,D
20242,05601822,33,0,1,105,D,,A,300,D,2,D
20242,05602012,29,0,1,105,D,,A,1140,D,1,D
20242,05602072,33,0,1,105,D,,A,700,D,1,D
20242,05602602,21,0,1,180,D,,A,127,D,1,D
20242,05604782,24,0,1,105,D,1.0,D,0,D,2,D
20242,05605152,18,0,1,105,D,,A,380,D,1,D
20242,05605192,20,0,1,105,D,,A,175,D,1,D
20242,05605192,21,0,1,105,D,,A,38,D,2,D
20242,05605302,47,0,1,105,D,.40,D,600,D,1,D
20242,05605402,22,0,1,105,D,,A,50,D,2,D
20242,05605542,16,0,1,105,D,,A,600,D,1,D
20242,05605622,20,0,1,105,D,,A,550,D,2,D
20242,05606962,24,0,1,105,D,,A,570,D,1,D
20242,05607732,17,0,1,105,D,,A,248,D,1,D
20242,05607952,23,0,1,105,D,,A,250,D,1,D
20242,05654571,22,0,1,105,D,,A,600,D,2,D
20242,05655071,26,0,1,105,D,,A,603,D,1,D
20242,05655071,27,0,1,105,D,,A,603,D,1,D
20242,05655071,28,0,1,105,D,,A,350,D,1,D
20242,05655851,30,0,1,105,D,,A,60,D,1,D
20242,05656221,33,0,1,105,D,,A,830,D,1,D
20242,05656314,22,0,1,105,D,,A,240,D,1,D
20242,05656314,23,0,1,105,D,,A,240,D,1,D
20242,05656741,38,0,1,105,D,,A,240,D,2,D
20242,05657031,12,0,1,105,D,,A,176,D,2,D
20242,05658391,29,0,1,105,D,,A,100,D,2,D
20242,05658721,10,0,1,105,D,,A,200,D,2,D
20242,05660901,35,0,1,105,D,,A,111,D,2,D
20242,05661151,18,0,1,105,D,,A,400,D,1,D
20242,05662611,34,0,1,105,D,,A,151,D,2,D
20242,05662831,21,0,1,105,D,,A,1500,D,2,D
20242,05664251,43,0,1,105,D,,A,280,D,2,D
20242,05664821,26,0,1,200,D,,A,1200,D,2,D
20242,05665291,28,0,1,105,D,,A,20,D,2,D
20242,05665751,13,0,1,105,D,,A,700,D,1,D
20242,05665851,23,0,1,105,D,,A,450,D,1,D
20242,05666561,33,0,1,105,D,,A,580,D,2,D
20242,05666711,41,0,1,105,D,,A,600,D,2,D
20242,05666741,38,0,1,105,D,,A,610,D,1,D
20242,05666861,22,0,1,105,D,,A,300,D,1,D
20242,05667411,15,0,1,105,D,,A,225,D,1,D
20242,05667731,19,0,1,105,D,,A,500,D,2,D
20242,05667941,24,0,1,105,D,,A,500,D,1,D
20242,05668721,48,0,1,105,D,,A,201,D,1,D
20242,05668721,49,0,1,105,D,,A,201,D,1,D
20242,05668871,20,0,1,105,D,,A,600,D,1,D
20242,05669271,28,0,1,105,D,,A,120,D,1,D
20242,05669771,11,0,1,105,D,,A,15,D,2,D
20242,05669991,29,0,1,105,D,,A,100,D,1,D
20242,05670281,15,0,1,105,D,,A,600,D,1,D
20242,05673381,9,0,1,200,D,,A,130,D,2,D
20242,05673461,28,0,1,105,D,,A,670,D,2,D
20242,05674451,15,0,1,105,D,,A,150,D,1,D
20242,05674541,31,0,1,105,D,,A,358,D,1,D
20242,05675134,26,0,1,105,D,,A,400,D,2,D
20242,05676621,25,0,1,105,D,,A,200,D,2,D
20242,05676981,21,0,1,105,D,,A,450,D,1,D
20242,05678101,25,0,1,105,D,,A,280,D,1,D
20242,05679141,43,0,1,105,D,,A,1500,D,1,D
20242,05679381,33,0,1,105,D,,A,368,D,1,D
20242,05681201,31,0,1,105,D,,A,60,D,2,D
20242,05681411,27,0,1,105,D,,A,209,D,1,D
20242,05681411,28,0,1,105,D,,A,38,D,1,D
20242,05681411,29,0,1,105,D,,A,160,D,1,D
20242,05682371,16,0,1,105,D,,A,100,D,2,D
20242,05682641,29,0,1,105,D,,A,1000,D,1,D
20242,05683171,39,0,1,105,D,,A,252,D,1,D
20242,05683811,25,0,1,105,D,,A,10,D,2,D
20242,05683961,16,0,1,105,D,.80,D,80,D,2,D
20242,05683991,65,0,1,105,D,,A,465,F,1,D
20242,05684011,17,0,1,105,D,,A,1100,D,1,D
20242,05684101,36,0,1,105,D,,A,1100,D,1,D
20242,05684421,27,0,1,105,D,,A,2000,D,2,D
20242,05685991,25,0,1,105,D,,A,347,F,2,D
20242,05686221,11,0,1,105,D,,A,150,D,1,D
20242,05686421,22,0,1,105,D,,A,240,D,1,D
20242,05686461,40,0,1,105,D,,A,620,D,1,D
20242,05687591,22,0,1,105,D,,A,600,D,1,D
20242,05688031,45,0,1,105,D,,A,275,D,2,D
20242,05688031,46,0,1,105,D,,A,484,D,1,D
20242,05688031,47,0,1,105,D,,A,1060,D,1,D
20243,05538274,20,0,1,105,D,,A,100,D,2,D
20243,05538924,48,0,1,105,D,,A,350,D,1,D
20243,05538924,49,0,1,105,D,,A,300,D,1,D
20243,05540364,40,0,1,125,D,,A,3500,D,1,D
20243,05540434,34,0,1,165,D,,A,30,D,2,D
20243,05540664,34,0,1,105,D,,A,300,D,1,D
20243,05541304,19,0,1,165,D,,A,49,D,2,D
20243,05541744,45,0,1,105,D,,A,584,F,1,D
20243,05541784,37,0,1,105,D,,A,346,F,,C
20243,05542134,29,0,1,105,D,,A,1200,D,1,D
20243,05542604,31,0,1,105,D,,A,210,D,2,D
20243,05543914,32,0,1,105,D,,A,425,D,1,D
20243,05544434,37,0,1,105,D,,A,567,D,1,D
20243,05544684,42,0,1,105,D,,A,230,D,2,D
20243,05544774,22,0,1,105,D,,A,200,D,1,D
20243,05545164,26,0,1,105,D,,A,250,D,1,D
20243,05545164,27,0,1,165,D,,A,25,D,2,D
20243,05545384,33,0,1,105,D,,A,787,D,1,D
20243,05545654,20,0,1,105,D,,A,359,D,1,D
20243,05545864,15,0,1,105,D,,A,575,F,,C
20243,05546204,40,0,1,105,D,,A,500,D,1,D
20243,05546424,17,0,1,105,D,,A,144,D,1,D
20243,05547264,36,0,1,165,D,,A,800,D,1,D
20243,05548344,16,0,1,105,D,,A,100,D,2,D
20243,05549034,49,0,1,105,D,,A,459,F,,C
20243,05549224,45,0,1,165,D,,A,450,D,2,D
20243,05549544,16,0,1,105,D,,A,80,D,1,D
20243,05549694,46,0,1,105,D,,A,300,D,1,D
20243,05549884,12,0,1,105,D,,A,300,D,2,D
20243,05551604,26,0,1,105,D,,A,2100,D,2,D
20243,05551824,13,0,1,105,D,,A,120,D,2,D
20243,05552174,54,0,1,180,D,,A,45,D,2,D
20243,05552174,55,0,1,125,D,,A,380,D,1,D
20243,05552424,29,0,1,105,D,,A,150,D,2,D
20243,05552824,29,0,1,105,D,,A,350,D,1,D
20243,05552824,30,0,1,105,D,,A,350,D,1,D
20243,05552944,34,0,1,105,D,,A,694,D,2,D
20243,05553284,31,0,1,105,D,,A,2000,D,1,D
20243,05553284,32,0,1,125,D,,A,1000,D,1,D
20243,05554254,47,0,1,105,D,,A,750,D,1,D
20243,05554434,33,0,1,105,D,,A,70,D,1,D
20243,05554454,18,0,1,105,D,,A,150,D,2,D
20243,05554614,26,0,1,105,D,,A,68,D,1,D
20243,05554614,27,0,1,105,D,,A,400,D,1,D
20243,05555294,31,0,1,105,D,,A,1200,D,1,D
20243,05555344,26,0,1,105,D,,A,400,D,1,D
20243,05556284,27,0,1,105,D,,A,563,D,1,D
20243,05557464,21,0,1,105,D,,A,127,D,2,D
20243,05557464,22,0,1,180,D,,A,600,D,1,D
20243,05557874,72,0,1,105,D,,A,120,D,2,D
20243,05558824,23,0,1,165,D,,A,30,D,1,D
20243,05559384,18,0,1,105,D,,A,250,D,1,D
20243,05561634,21,0,1,105,D,,A,344,D,2,D
20243,05563994,54,0,1,105,D,,A,200,D,1,D
20243,05563994,55,0,1,105,D,,A,124,D,1,D
20243,05564204,32,0,1,105,D,,A,335,D,1,D
20243,05564574,26,0,1,105,D,,A,300,D,1,D
20243,05564724,59,0,1,105,D,,A,453,D,1,D
20243,05564744,16,0,1,105,D,,A,560,D,1,D
20243,05565074,17,0,1,105,D,,A,350,D,1,D
20243,05565454,30,0,1,105,D,,A,1400,D,1,D
20243,05565774,26,0,1,105,D,,A,100,D,2,D
20243,05566754,16,0,1,105,D,,A,10,D,2,D
20243,05567074,38,0,1,105,D,,A,300,D,1,D
20243,05567654,48,0,1,105,D,,A,580,D,1,D
20243,05567654,49,0,1,105,D,,A,20,D,1,D
20243,05569894,17,0,1,180,D,,A,63,D,2,D
20243,05570964,25,0,1,105,D,,A,25,D,1,D
20243,05572434,15,0,1,165,D,,A,300,D,2,D
20243,05572434,16,0,1,165,D,,A,150,D,2,D
20243,05572734,47,0,1,105,D,,A,303,D,1,D
20243,05573484,35,0,1,165,D,,A,250,D,1,D
20243,05574043,43,0,1,150,D,,A,801,D,1,D
20243,05577193,32,0,1,105,D,,A,1800,D,1,D
20243,05577253,10,0,1,105,D,,A,39,D,2,D
20243,05578003,25,0,1,105,D,,A,500,D,2,D
20243,05578873,21,0,1,105,D,,A,700,D,1,D
20243,05580503,32,0,1,105,D,,A,487,D,2,D
20243,05580613,30,0,1,105,D,,A,1000,D,1,D
20243,05580913,10,0,1,105,D,,A,202,D,1,D
20243,05581683,33,0,1,105,D,,A,225,D,2,D
20243,05582323,19,0,1,105,D,,A,182,D,1,D
20243,05583443,57,0,1,105,D,,A,350,D,1,D
20243,05583613,39,0,1,105,D,,A,500,D,1,D
20243,05584213,41,0,1,105,D,,A,600,D,1,D
20243,05584243,58,0,1,105,D,,A,800,D,1,D
20243,05584773,12,0,1,165,D,,A,79,D,2,D
20243,05584823,27,0,1,105,D,,A,259,D,2,D
20243,05586683,43,0,1,105,D,,A,300,D,1,D
20243,05586783,31,0,1,105,D,,A,1100,D,1,D
20243,05587383,34,0,1,200,D,,A,400,D,1,D
20243,05588463,17,0,1,105,D,,A,250,D,1,D
20243,05589073,32,0,1,105,D,,A,2000,D,1,D
20243,05589793,33,0,1,105,D,,A,74,D,1,D
20243,05590693,15,0,1,105,D,,A,220,D,1,D
