QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VTRCODE,VTRCODE_,VTRMO,VTRMO_,VTREXPX,VTREXPX_,VTRLIMO,VTRLIMO_,VTRPURCH
20241,05294514,10,0,2,100,D,10,D,42,D,,A,
20241,05294924,92,0,1,100,D,13,D,30,D,,A,
20241,05295474,48,0,1,100,D,12,D,200,D,,A,
20241,05295554,46,0,2,100,D,10,D,19,D,,A,
20241,05296104,71,0,1,100,D,12,D,120,D,,A,
20241,05296584,52,0,1,100,D,12,D,60,D,,A,
20241,05296634,44,0,1,100,D,13,D,500,D,,A,
20241,05296644,50,0,1,100,D,12,D,100,D,,A,
20241,05296774,42,0,1,100,D,13,D,100,D,,A,
20241,05296944,88,0,2,100,D,10,D,170,D,,A,
20241,05296984,38,0,1,100,D,10,D,110,D,,A,
20241,05297544,36,0,2,100,D,10,D,60,D,,A,
20241,05343904,20,0,1,100,D,12,D,100,D,,A,
20241,05343964,61,0,1,100,D,11,D,54,D,,A,
20241,05344244,42,0,1,100,D,13,D,40,D,,A,
20241,05344664,29,0,1,100,D,11,D,45,D,,A,
20241,05344664,30,0,1,100,D,12,D,75,D,,A,
20241,05344664,31,0,1,100,D,01,D,160,D,,A,
20241,05344744,40,0,1,110,D,13,D,10,D,,A,1
20241,05344744,41,0,2,100,D,11,D,90,D,,A,
20241,05344964,45,0,1,100,D,01,D,21,D,,A,
20241,05344964,46,0,1,110,D,13,D,5,D,,A,
20241,05344974,35,0,1,100,D,01,D,160,D,,A,
20241,05345024,73,0,1,100,D,12,D,37,D,,A,
20241,05345034,10,0,1,100,D,01,D,30,D,,A,
20241,05345034,11,0,1,100,D,12,D,30,D,,A,
20241,05345414,17,0,1,100,D,13,D,100,D,,A,
20241,05345434,37,0,1,100,D,01,D,37,D,,A,
20241,05345584,46,0,1,100,D,01,D,100,D,1,D,
20241,05345584,47,0,1,100,D,11,D,100,D,1,D,
20241,05345584,48,0,1,100,D,12,D,100,D,1,D,
20241,05345964,43,0,1,100,D,01,D,300,D,,A,
20241,05346094,38,0,1,100,D,11,D,30,D,,A,
20241,05346094,39,0,1,100,D,12,D,10,D,,A,
20241,05346124,29,0,1,100,D,11,D,150,D,,A,
20241,05346134,21,0,1,100,D,13,D,300,D,,A,
20241,05346184,37,0,1,100,D,12,D,24,D,,A,
20241,05346184,38,0,1,100,D,01,D,30,D,,A,
20241,05346264,14,0,1,100,D,13,D,25,D,,A,
20241,05346414,34,0,1,100,D,01,D,20,D,,A,
20241,05346744,20,0,1,100,D,12,D,35,D,,A,
20241,05346744,21,0,1,100,D,01,D,50,D,,A,
20241,05346864,39,0,1,110,D,01,D,20,D,,A,
20241,05346944,36,0,1,100,D,12,D,76,D,,A,
20241,05347424,64,0,2,100,D,11,D,23,D,1,D,
20241,05347434,40,0,1,100,D,01,D,600,D,,A,
20241,05347614,28,0,1,100,D,13,D,30,D,,A,
20241,05347964,32,0,1,100,D,11,D,40,D,,A,
20241,05347964,33,0,1,100,D,12,D,30,D,,A,
20241,05347964,34,0,1,100,D,01,D,80,D,,A,
20241,05348174,30,0,1,100,D,12,D,160,D,1,D,
20241,05348404,30,0,1,100,D,01,D,120,D,,A,
20241,05348404,31,0,1,100,D,01,D,100,D,,A,
20241,05348404,32,0,1,100,D,11,D,150,D,,A,
20241,05348404,33,0,2,100,D,11,D,50,D,,A,
20241,05348424,32,0,1,100,D,12,D,175,D,,A,
20241,05348424,33,0,1,100,D,01,D,291,D,,A,
20241,05348424,34,0,1,100,D,11,D,124,D,,A,
20241,05348424,35,0,2,100,D,11,D,1322,D,1,D,
20241,05348614,31,0,1,100,D,12,D,100,D,,A,
20241,05348754,26,0,1,100,D,13,D,50,D,,A,
20241,05349054,19,0,1,100,D,13,D,150,D,,A,
20241,05349084,26,0,1,100,D,01,D,40,D,,A,
20241,05349084,27,0,1,100,D,11,D,46,D,,A,
20241,05349084,28,0,1,100,D,12,D,105,D,,A,
20241,05349464,62,0,1,100,D,12,D,270,D,,A,
20241,05349464,63,0,1,100,D,01,D,135,D,,A,
20241,05349714,52,0,1,100,D,13,D,100,D,,A,
20241,05350114,19,0,1,100,D,01,D,6,D,,A,
20241,05350144,31,0,1,100,D,01,D,160,D,,A,
20241,05350234,35,0,1,100,D,13,D,150,D,2,D,1
20241,05350734,32,0,1,100,D,12,D,83,D,1,D,
20241,05350754,63,0,1,100,D,13,D,150,D,,A,
20241,05350844,66,0,1,100,D,11,D,193,D,,A,
20241,05350844,67,0,1,100,D,12,D,107,D,,A,
20241,05350844,68,0,1,100,D,01,D,74,D,,A,
20241,05351074,112,0,1,100,D,11,D,72,D,,A,
20241,05351094,53,0,1,100,D,11,D,175,D,2,D,1
20241,05351684,29,0,1,100,D,13,D,100,D,,A,
20241,05351984,15,0,1,100,D,13,D,90,D,,A,
20241,05352054,87,0,1,100,D,13,D,175,D,,A,
20241,05352584,25,0,1,100,D,13,D,20,D,,A,
20241,05353014,27,0,1,100,D,11,D,66,D,,A,
20241,05353014,28,0,1,100,D,11,D,13,D,,A,
20241,05353014,29,0,2,100,D,11,D,37,D,2,D,1
20241,05353274,58,0,1,100,D,12,D,20,D,,A,
20241,05353274,59,0,1,100,D,01,D,20,D,,A,
20241,05353334,61,0,1,100,D,12,D,35,D,,A,
20241,05353634,75,0,1,100,D,12,D,70,D,,A,
20241,05353954,46,0,1,100,D,11,D,150,D,,A,
20241,05354054,39,0,1,100,D,13,D,25,D,,A,
20241,05354134,49,0,2,100,D,11,D,12,F,,A,
20241,05354274,79,0,1,100,D,12,D,26,D,,A,
20241,05354274,80,0,2,100,D,11,D,600,D,,A,
20241,05354394,72,0,1,100,D,11,D,28,D,,A,
20241,05354394,73,0,1,100,D,12,D,206,D,,A,
20241,05354394,74,0,1,100,D,01,D,225,D,,A,
20241,05354454,32,0,1,100,D,13,D,200,D,,A,
20241,05355024,27,0,1,100,D,13,D,125,D,,A,
20241,05356124,44,0,1,100,D,02,D,200,D,,A,
20241,05356554,46,0,1,100,D,13,D,50,D,,A,
20241,05357284,17,0,2,100,D,12,D,10,D,,A,
20241,05357974,32,0,1,100,D,02,D,15,D,2,D,1
20241,05358204,60,0,1,100,D,12,D,120,D,,A,
20241,05358204,61,0,1,100,D,01,D,105,D,,A,
20241,05358204,62,0,1,100,D,02,D,40,D,,A,
20241,05358294,22,0,1,100,D,12,D,20,D,,A,
20241,05358564,18,0,1,100,D,01,D,120,D,,A,
20241,05358574,58,0,2,100,D,12,D,200,D,,A,
20241,05358794,19,0,1,100,D,01,D,100,D,,A,
20241,05358914,49,0,1,100,D,12,D,20,D,,A,
20241,05358934,78,0,1,100,D,13,D,69,D,,A,
20241,05358934,79,0,1,110,D,01,D,18,D,,A,
20241,05358954,28,0,1,100,D,01,D,36,D,1,D,
20241,05358954,29,0,2,100,D,12,D,120,D,,A,
20241,05359314,63,0,1,100,D,02,D,85,D,,A,
20241,05359464,45,0,1,100,D,01,D,50,D,,A,
20241,05359914,51,0,1,100,D,02,D,100,D,,A,
20241,05360594,33,0,1,100,D,13,D,60,D,,A,
20241,05360604,36,0,1,100,D,01,D,90,D,,A,
20241,05361114,38,0,1,100,D,13,D,50,D,,A,
20241,05361434,43,0,1,100,D,02,D,20,D,,A,
20241,05361754,21,0,1,100,D,02,D,40,D,,A,
20241,05361754,22,0,1,100,D,01,D,20,D,,A,
20241,05361914,44,0,1,100,D,01,D,100,D,,A,
20241,05362054,44,0,1,100,D,13,D,150,D,,A,
20241,05362114,28,0,1,100,D,02,D,65,D,2,D,1
20241,05362854,20,0,1,100,D,13,D,300,D,,A,
20241,05362944,41,0,1,100,D,02,D,80,D,,A,
20241,05363154,65,0,1,100,D,13,D,20,D,,A,
20241,05363764,35,0,1,100,D,01,D,60,D,,A,
20241,05363764,36,0,1,100,D,02,D,60,D,,A,
20241,05364184,26,0,1,100,D,13,D,50,D,,A,
20241,05364354,50,0,1,100,D,02,D,23,D,,A,
20241,05364734,23,0,1,100,D,13,D,70,D,,A,
20241,05364944,51,0,1,100,D,02,D,40,D,,A,
20241,05365104,61,0,1,100,D,12,D,50,D,1,D,
20241,05365644,69,0,1,100,D,01,D,18,D,,A,
20241,05365904,29,0,2,100,D,12,D,30,D,,A,
20241,05365934,38,0,1,100,D,02,D,250,D,,A,
20241,05366044,52,0,1,100,D,01,D,45,D,,A,
20241,05366044,53,0,1,100,D,02,D,130,D,,A,
20241,05366344,45,0,1,100,D,02,D,100,D,,A,
20241,05366544,20,0,1,100,D,12,D,14,D,,A,
20241,05366554,17,0,1,100,D,01,D,40,D,,A,
20241,05366594,25,0,1,100,D,13,D,100,D,,A,
20241,05411743,23,0,1,100,D,13,D,120,D,,A,
20241,05411763,26,0,1,100,D,12,D,200,D,,A,
20241,05411833,29,0,2,100,D,10,D,200,D,,A,
20241,05411913,38,0,1,100,D,13,D,100,D,,A,
20241,05412043,40,0,1,100,D,11,D,40,D,,A,
20241,05412053,36,0,1,100,D,13,D,30,D,,A,
20241,05412423,47,0,1,100,D,10,D,140,D,,A,
20241,05412613,40,0,1,100,D,13,D,80,D,,A,
20241,05412963,25,0,1,100,D,13,D,140,D,,A,
20241,05413063,54,0,1,100,D,12,D,25,D,,A,
20241,05413213,24,0,1,100,D,13,D,400,D,,A,
20241,05413593,25,0,1,100,D,10,D,40,D,,A,
20241,05413593,26,0,1,100,D,13,D,60,D,,A,
20241,05413593,27,0,1,100,D,11,D,60,D,,A,
20241,05413593,28,0,1,100,D,13,D,60,D,,A,
20241,05413823,48,0,1,100,D,12,D,100,D,,A,
20241,05414203,8,0,1,100,D,13,D,100,D,,A,
20241,05414203,9,0,1,100,D,13,D,100,D,,A,
20241,05414203,10,0,1,100,D,13,D,100,D,,A,
20241,05414383,23,0,1,100,D,12,D,30,D,,A,
20241,05414423,42,0,1,100,D,13,D,50,D,,A,
20241,05414923,25,0,1,100,D,11,D,300,D,1,D,
20241,05414923,26,0,1,100,D,11,D,100,D,1,D,
20241,05415503,24,0,1,100,D,13,D,40,D,,A,
20241,05415523,43,0,1,100,D,11,D,20,D,,A,
20241,05415793,15,0,1,100,D,13,D,900,D,2,D,2
20241,05415953,72,0,1,100,D,12,D,19,D,,A,
20241,05416024,20,0,1,100,D,10,D,10,D,,A,
20241,05416483,43,0,1,100,D,11,D,300,D,,A,
20241,05416493,31,0,1,100,D,11,D,200,D,,A,
20241,05416533,29,0,1,100,D,10,D,100,D,,A,
20241,05416533,30,0,1,100,D,11,D,60,D,,A,
20241,05416533,31,0,1,100,D,12,D,60,D,,A,
20241,05417003,45,0,1,100,D,13,D,40,D,,A,
20241,05417103,41,0,1,100,D,13,D,100,D,,A,
20241,05417944,33,0,1,100,D,13,D,35,D,,A,
20241,05418133,24,0,1,100,D,12,D,18,D,,A,
20241,05418273,67,0,1,100,D,13,D,60,D,,A,
20241,05418333,33,0,2,100,D,10,D,30,D,,A,
20241,05419393,33,0,1,100,D,12,D,60,D,1,D,
20241,05419603,19,0,1,100,D,10,D,25,D,,A,
20241,05420153,60,0,1,100,D,12,D,50,D,,A,
20241,05420173,67,0,1,100,D,10,D,58,D,,A,
20241,05420173,68,0,1,100,D,11,D,232,D,,A,
20241,05420173,69,0,1,100,D,12,D,108,D,,A,
20241,05420173,70,0,1,110,D,11,D,32,D,,A,
20241,05420173,71,0,2,100,D,10,D,58,D,,A,
20241,05420243,41,0,1,100,D,11,D,125,D,,A,
20241,05420703,24,0,1,100,D,13,D,300,D,,A,
20241,05420763,83,0,1,100,D,12,D,50,D,,A,
20241,05421133,41,0,1,100,D,10,D,16,D,,A,
20241,05421133,42,0,1,100,D,10,D,132,D,,A,
20241,05421133,43,0,1,100,D,11,D,42,D,,A,
20241,05421133,44,0,1,100,D,11,D,80,D,,A,
20241,05421133,45,0,2,100,D,10,D,9,D,,A,
20241,05421263,14,0,1,100,D,13,D,120,D,2,D,1
20241,05421463,51,0,1,110,D,10,D,45,D,,A,
20241,05421463,52,0,1,100,D,11,D,40,D,,A,
20241,05422043,25,0,1,100,D,10,D,70,D,,A,
20241,05422043,26,0,1,100,D,11,D,75,D,,A,
20241,05422043,27,0,1,100,D,12,D,70,D,,A,
20241,05422153,72,0,2,100,D,10,D,57,D,,A,
20241,05422233,14,0,1,100,D,12,D,80,D,,A,
20241,05422283,19,0,1,100,D,13,D,50,D,,A,
20241,05422673,29,0,1,110,D,10,D,50,D,,A,
20241,05422673,30,0,1,110,D,11,D,50,D,,A,
20241,05422703,12,0,1,100,D,13,D,10,D,,A,
20241,05422813,31,0,2,100,D,10,D,100,D,,A,
20241,05423013,59,0,2,100,D,10,D,75,D,2,D,1
20241,05423353,67,0,1,100,D,11,D,30,D,,A,
20241,05423413,47,0,1,100,D,12,D,20,D,,A,
20241,05423973,22,0,1,100,D,13,D,40,D,,A,
20241,05424083,20,0,1,100,D,13,D,150,D,,A,
20241,05424083,21,0,2,100,D,11,D,20,D,,A,
20241,05424323,90,0,1,100,D,12,D,80,D,,A,
20241,05424403,29,0,1,100,D,01,D,58,D,,A,
20241,05424533,46,0,1,100,D,13,D,50,D,,A,
20241,05424553,19,0,1,100,D,01,D,30,D,,A,
20241,05424603,32,0,1,100,D,13,D,30,D,,A,
20241,05424613,17,0,1,100,D,13,D,200,D,,A,
20241,05424663,30,0,1,100,D,12,D,100,D,,A,
20241,05424833,55,0,1,100,D,12,D,100,D,,A,
20241,05424853,64,0,1,100,D,12,D,46,D,,A,
20241,05424903,42,0,1,100,D,11,D,58,D,,A,
20241,05424903,43,0,1,110,D,13,D,6,D,,A,
20241,05425033,31,0,1,100,D,12,D,50,D,,A,
20241,05425053,11,0,1,100,D,12,D,40,D,,A,
20241,05425063,23,0,1,100,D,12,D,20,D,2,D,1
20241,05425753,20,0,1,100,D,13,D,240,D,,A,
20241,05425923,48,0,1,100,D,13,D,150,D,,A,
20241,05426113,39,0,1,100,D,01,D,30,D,,A,
20241,05426173,40,0,1,100,D,12,D,130,D,,A,
20241,05426573,19,0,1,100,D,12,D,50,D,,A,
20241,05426573,20,0,2,100,D,11,D,120,D,,A,
20241,05426583,31,0,1,100,D,01,D,173,D,,A,
20241,05426583,32,0,1,100,D,12,D,86,D,,A,
20241,05426583,33,0,1,100,D,11,D,71,D,,A,
20241,05426673,40,0,1,100,D,01,D,100,D,,A,
20241,05426783,27,0,1,100,D,13,D,50,D,,A,
20241,05426803,21,0,1,100,D,13,D,120,D,,A,
20241,05427013,35,0,1,100,D,01,D,100,D,,A,
20241,05427013,36,0,1,100,D,12,D,30,D,,A,
20241,05427013,37,0,1,100,D,11,D,20,D,,A,
20241,05427113,44,0,1,100,D,12,D,50,D,,A,
20241,05427113,45,0,1,100,D,01,D,50,D,,A,
20241,05427343,16,0,1,100,D,01,D,15,D,,A,
20241,05427433,54,0,1,100,D,13,D,50,D,2,D,1
20241,05427683,50,0,1,100,D,12,D,25,D,2,D,1
20241,05427883,16,0,1,100,D,13,D,300,D,1,D,
20241,05427953,29,0,1,100,D,13,D,200,D,,A,
20241,05428073,39,0,1,100,D,01,D,50,D,,A,
20241,05428213,38,0,1,100,D,12,D,18,D,,A,
20241,05428433,84,0,2,100,D,11,D,90,D,,A,
20241,05428473,40,0,1,100,D,01,D,60,D,,A,
20241,05428543,46,0,1,100,D,11,D,150,D,,A,
20241,05428623,34,0,2,100,D,11,D,15,D,,A,
20241,05428693,41,0,1,100,D,11,D,25,D,,A,
20241,05428693,42,0,1,100,D,01,D,40,D,,A,
20241,05428743,18,0,1,100,D,12,D,120,D,,A,
20241,05428813,30,0,1,100,D,01,D,200,D,,A,
20241,05428813,31,0,1,100,D,12,D,200,D,,A,
20241,05428963,32,0,1,100,D,11,D,30,D,,A,
20241,05428973,44,0,1,100,D,12,D,53,D,,A,
20241,05429153,36,0,1,100,D,01,D,100,D,,A,
20241,05429243,31,0,1,100,D,13,D,240,D,,A,
20241,05429323,50,0,1,100,D,11,D,21,D,,A,
20241,05429323,51,0,1,100,D,01,D,21,D,,A,
20241,05429333,19,0,1,100,D,12,D,27,D,,A,
20241,05429713,34,0,1,100,D,13,D,150,D,,A,
20241,05430053,21,0,1,100,D,01,D,30,D,,A,
20241,05430053,22,0,1,110,D,01,D,6,D,,A,1
20241,05430183,58,0,1,100,D,11,D,40,D,,A,
20241,05430193,43,0,1,100,D,13,D,40,D,,A,
20241,05430243,66,0,1,100,D,12,D,50,D,,A,
20241,05430483,23,0,1,100,D,01,D,80,D,,A,
20241,05430623,28,0,1,100,D,13,D,300,D,,A,
20241,05430703,65,0,1,100,D,11,D,40,D,,A,
20241,05430953,29,0,1,100,D,12,D,20,D,,A,
20241,05431303,40,0,1,100,D,12,D,20,D,,A,
20241,05431463,24,0,1,100,D,01,D,20,D,,A,
20241,05432173,75,0,1,100,D,12,D,100,D,2,D,1
20241,05432233,57,0,1,100,D,01,D,60,D,,A,
20241,05432243,23,0,1,100,D,12,D,63,D,,A,
20241,05432383,50,0,1,100,D,12,D,150,D,,A,
20241,05432493,31,0,1,100,D,13,D,180,D,,A,
20241,05432603,35,0,1,100,D,01,D,53,D,1,D,
20241,05432653,73,0,1,100,D,12,D,9,D,,A,
20241,05432933,88,0,1,100,D,11,D,60,D,,A,
20241,05433393,19,0,1,100,D,11,D,200,D,,A,
20241,05433653,31,0,1,100,D,13,D,140,D,,A,
20241,05433703,47,0,1,100,D,11,D,102,D,,A,
20241,05433703,48,0,2,100,D,11,D,102,D,,A,
20241,05433723,85,0,1,100,D,11,D,15,D,,A,
20241,05433723,86,0,1,100,D,12,D,15,D,,A,
20241,05433723,87,0,1,100,D,11,D,30,D,,A,
20241,05434443,42,0,1,100,D,11,D,200,D,1,D,
20241,05434863,39,0,1,100,D,11,D,135,D,,A,
20241,05434863,40,0,1,100,D,12,D,120,D,,A,
20241,05434863,41,0,1,100,D,01,D,225,D,,A,
20241,05435133,49,0,1,100,D,01,D,200,D,,A,
20241,05435243,21,0,1,100,D,01,D,13,D,2,D,2
20241,05435323,55,0,1,100,D,02,D,95,D,,A,
20241,05436063,38,0,1,100,D,13,D,200,F,1,D,
20241,05436123,26,0,1,100,D,13,D,300,D,,A,
20241,05436353,79,0,1,100,D,02,D,50,D,,A,
20241,05436353,80,0,2,100,D,12,D,30,D,,A,
20241,05436733,14,0,1,100,D,12,D,480,D,,A,
20241,05436733,15,0,1,100,D,12,D,480,D,,A,
20241,05436763,36,0,2,100,D,12,D,250,D,,A,
20241,05436833,58,0,1,100,D,13,D,25,D,,A,
20241,05436903,57,0,1,100,D,12,D,125,D,,A,
20241,05436903,58,0,1,100,D,01,D,125,D,,A,
20241,05436953,33,0,1,100,D,12,D,80,D,,A,
20241,05436973,47,0,1,100,D,01,D,20,D,,A,
20241,05436983,63,0,1,100,D,13,D,56,F,,A,
20241,05437043,39,0,1,100,D,01,D,30,D,,A,
20241,05437063,18,0,1,100,D,12,D,40,D,,A,
20241,05437063,19,0,1,100,D,01,D,40,D,,A,
20241,05437063,20,0,1,100,D,02,D,20,D,,A,
20241,05437233,53,0,1,100,D,13,D,250,D,,A,
20241,05437353,17,0,1,100,D,13,D,320,D,,A,
20241,05437603,17,0,1,100,D,13,D,8,D,,A,
20241,05437763,31,0,1,100,D,02,D,90,D,,A,
20241,05437763,32,0,1,100,D,01,D,14,D,,A,
20241,05437854,25,0,1,100,D,01,D,20,D,,A,
20241,05438163,37,0,1,100,D,13,D,100,D,,A,
20241,05438453,40,0,1,100,D,13,D,100,D,,A,
20241,05438543,57,0,1,100,D,12,D,20,D,,A,
20241,05438953,51,0,1,100,D,13,D,30,D,,A,
20241,05439233,14,0,1,100,D,13,D,100,D,,A,
20241,05439233,15,0,1,100,D,13,D,100,D,,A,
20241,05439253,46,0,1,100,D,01,D,620,D,1,D,
20241,05439383,12,0,1,100,D,13,D,100,D,,A,
20241,05439563,32,0,1,100,D,13,D,35,D,,A,
20241,05439743,42,0,1,100,D,02,D,100,D,,A,
20241,05440263,27,0,1,100,D,02,D,60,D,,A,
20241,05440873,37,0,1,100,D,13,D,350,D,1,D,
20241,05441743,68,0,1,100,D,01,D,140,D,,A,
20241,05441973,61,0,1,100,D,12,D,28,D,,A,
20241,05441973,62,0,1,100,D,01,D,25,D,,A,
20241,05441993,49,0,1,100,D,02,D,30,D,,A,
20241,05442063,27,0,1,100,D,13,D,10,D,,A,
20241,05442673,65,0,1,100,D,12,D,180,D,,A,
20241,05442673,66,0,1,100,D,02,D,120,D,,A,
20241,05442673,67,0,2,100,D,12,D,180,D,,A,
20241,05442673,68,0,2,100,D,12,D,90,D,,A,
20241,05442673,69,0,2,100,D,12,D,90,D,,A,
20241,05442673,70,0,2,100,D,12,D,90,D,,A,
20241,05442673,71,0,2,100,D,12,D,90,D,,A,
20241,05442673,72,0,2,100,D,12,D,90,D,,A,
20241,05442673,73,0,2,100,D,12,D,90,D,,A,
20241,05442673,74,0,2,100,D,12,D,90,D,,A,
20241,05442673,75,0,2,100,D,12,D,90,D,,A,
20241,05442683,46,0,1,100,D,02,D,22,D,2,D,1
20241,05442753,36,0,1,100,D,13,D,77,D,,A,
20241,05443163,33,0,1,100,D,13,D,20,D,,A,
20241,05443543,19,0,1,100,D,13,D,100,D,2,D,2
20241,05443843,28,0,1,100,D,01,D,50,D,,A,
20241,05444733,62,0,1,100,D,02,D,10,D,,A,
20241,05445173,11,0,1,100,D,13,D,100,D,,A,
20241,05445263,48,0,1,100,D,12,D,50,D,,A,
20241,05445393,14,0,1,100,D,01,D,30,D,,A,
20241,05445573,62,0,1,100,D,02,D,35,D,,A,
20241,05445983,42,0,1,100,D,13,D,120,D,1,D,
20241,05446153,51,0,1,100,D,02,D,17,D,,A,
20241,05446203,28,0,1,100,D,12,D,60,D,,A,
20241,05538002,34,0,1,100,D,12,D,40,D,,A,
20241,05538182,33,0,1,100,D,12,D,20,D,,A,
20241,05538362,34,0,1,100,D,11,D,7,D,,A,
20241,05538362,35,0,1,100,D,10,D,51,D,,A,
20241,05538362,36,0,1,100,D,12,D,24,D,,A,
20241,05538732,45,0,1,100,D,13,D,40,D,,A,
20241,05538792,26,0,1,100,D,12,D,50,D,,A,
20241,05538982,30,0,1,100,D,11,D,75,D,,A,
20241,05539052,31,0,1,100,D,12,D,165,D,,A,
20241,05539462,22,0,1,100,D,10,D,20,D,,A,
20241,05539462,23,0,1,100,D,11,D,20,D,,A,
20241,05539462,24,0,1,100,D,12,D,20,D,,A,
20241,05539592,40,0,1,100,D,12,D,25,D,2,D,1
20241,05539612,55,0,1,100,D,11,D,200,D,,A,
20241,05539862,43,0,1,100,D,11,D,45,D,,A,
20241,05539862,44,0,1,100,D,10,D,75,D,,A,
20241,05539862,45,0,1,100,D,12,D,45,D,,A,
20241,05539862,46,0,2,100,D,10,D,100,D,,A,
20241,05539952,24,0,1,100,D,10,D,20,D,,A,
20241,05539982,50,0,1,100,D,11,D,86,D,,A,
20241,05540762,31,0,1,100,D,10,D,33,D,,A,
20241,05540992,23,0,1,100,D,12,D,75,D,,A,
20241,05541012,31,0,1,100,D,13,D,25,D,,A,
20241,05541223,13,0,1,110,D,13,D,6,D,,A,
20241,05541582,62,0,1,100,D,13,D,60,D,2,D,1
20241,05541582,63,0,2,100,D,10,D,250,D,,A,
20241,05541642,78,0,1,100,D,13,D,65,D,,A,
20241,05542292,34,0,1,100,D,13,D,30,D,,A,
20241,05542452,38,0,1,100,D,13,D,75,D,2,D,1
20241,05542612,16,0,1,100,D,12,D,30,D,,A,
20241,05542622,35,0,1,100,D,12,D,15,D,,A,
20241,05542632,16,0,1,100,D,13,D,16,D,,A,
20241,05542662,18,0,1,100,D,13,D,25,D,,A,
20241,05542782,61,0,1,100,D,10,D,100,D,,A,
20241,05542782,62,0,2,100,D,10,D,200,D,2,D,2
20241,05542902,65,0,1,100,D,10,D,18,D,2,D,1
20241,05543122,38,0,1,100,D,10,D,74,D,1,D,
20241,05543122,39,0,1,100,D,10,D,74,D,1,D,
20241,05543202,37,0,1,100,D,13,D,100,D,,A,
20241,05543532,53,0,1,100,D,13,D,100,D,,A,
20241,05543562,34,0,1,100,D,12,D,100,D,,A,
20241,05543942,30,0,1,100,D,11,D,200,D,,A,
20241,05543942,31,0,1,100,D,12,D,200,D,,A,
20241,05544072,55,0,1,100,D,10,D,500,D,,A,
20241,05544112,39,0,1,100,D,12,D,100,D,,A,
20241,05544492,32,0,1,100,D,10,D,200,D,,A,
20241,05544492,33,0,1,110,D,10,D,3,D,,A,2
20241,05544652,99,0,1,100,D,10,D,115,D,1,D,
20241,05544652,100,0,1,100,D,11,D,152,D,1,D,
20241,05544652,101,0,1,100,D,12,D,66,D,1,D,
20241,05545152,27,0,1,100,D,13,D,20,D,,A,
20241,05545502,21,0,1,100,D,10,D,100,D,,A,
20241,05545502,22,0,1,100,D,11,D,60,D,,A,
20241,05545502,23,0,1,100,D,12,D,150,D,,A,
20241,05545652,35,0,1,100,D,11,D,42,D,,A,
20241,05545652,36,0,1,100,D,12,D,58,D,,A,
20241,05545652,37,0,1,100,D,10,D,30,D,,A,
20241,05545882,40,0,1,100,D,11,D,100,D,,A,
20241,05545882,41,0,2,100,D,10,D,100,D,,A,
20241,05546092,27,0,1,100,D,13,D,175,D,,A,
20241,05546092,28,0,1,100,D,13,D,175,D,,A,
