QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VQBCODE,VQBCODE_,VQBLABOR,VQBL_BOR,VQBMO,VQBMO_,VQBEXPX,VQBEXPX_,VQBPURCH
20241,05287424,31,0,1,367,D,1,D,13,D,40,D,
20241,05287524,40,0,1,190,D,1,D,11,D,170,D,
20241,05287524,41,0,1,250,D,,A,13,D,25,D,
20241,05287574,25,0,1,250,D,,A,11,D,48,D,
20241,05287714,46,0,1,190,D,1,D,11,D,244,D,
20241,05287774,40,0,1,420,D,,A,12,D,180,D,
20241,05287784,15,0,1,190,D,1,D,12,D,75,D,
20241,05287784,16,0,2,190,D,1,D,10,D,68,D,
20241,05287804,39,0,1,190,D,1,D,11,D,79,D,
20241,05287804,40,0,1,320,D,1,D,12,D,500,D,
20241,05287894,44,0,1,260,D,,A,12,D,12,D,
20241,05287994,26,0,1,367,D,1,D,10,D,12,D,
20241,05287994,27,0,1,190,D,1,D,11,D,825,D,
20241,05288104,29,0,1,410,D,,A,10,D,50,D,
20241,05288124,41,0,1,410,D,,A,11,D,115,D,
20241,05288124,42,0,1,250,D,,A,10,D,20,D,
20241,05288124,43,0,1,250,D,,A,11,D,20,D,
20241,05288124,44,0,1,250,D,,A,12,D,7,D,
20241,05288174,22,0,1,420,D,,A,11,D,85,D,
20241,05288174,23,0,2,190,D,1,D,10,D,50,D,
20241,05288184,31,0,1,367,D,1,D,12,D,35,D,
20241,05288184,32,0,1,140,D,,A,11,D,135,D,
20241,05288184,33,0,1,190,D,1,D,12,D,135,D,
20241,05288214,40,0,1,190,D,1,D,10,D,19,D,1
20241,05288264,38,0,1,250,D,,A,13,D,40,D,
20241,05288334,19,0,1,400,D,,A,12,D,25,D,
20241,05288354,48,0,1,210,D,,A,11,D,160,D,
20241,05288404,33,0,1,190,D,1,D,11,D,340,D,
20241,05288494,36,0,1,190,D,1,D,12,D,100,D,
20241,05288544,43,0,1,900,D,,A,11,D,,H,
20241,05288544,43,1,1,410,D,,A,11,D,31,E,
20241,05288544,43,2,1,420,D,,A,11,D,129,E,
20241,05288544,44,0,1,367,D,1,D,12,D,10,D,
20241,05288544,45,0,1,190,D,1,D,12,D,60,D,
20241,05288544,46,0,2,367,D,1,D,10,D,10,D,
20241,05288664,42,0,2,420,D,,A,10,D,100,D,
20241,05288664,43,0,2,190,D,1,D,10,D,35,D,
20241,05288664,44,0,2,280,D,,A,10,D,30,D,
20241,05288674,45,0,1,190,D,1,D,10,D,150,D,2
20241,05288674,46,0,1,250,D,,A,13,D,140,D,
20241,05288744,21,0,1,140,D,,A,10,D,100,D,
20241,05288744,22,0,1,190,D,1,D,11,D,55,D,2
20241,05288864,20,0,1,190,D,1,D,10,D,50,D,2
20241,05288864,21,0,1,260,D,,A,12,D,80,D,
20241,05288884,53,0,1,250,D,,A,10,D,20,D,
20241,05288894,32,0,1,410,D,,A,12,D,78,D,
20241,05288894,34,0,1,190,D,2,D,12,D,60,D,
20241,05288954,61,0,1,367,D,1,D,13,D,44,D,
20241,05288954,62,0,1,190,D,1,D,11,D,25,D,
20241,05288954,63,0,1,190,D,1,D,11,D,677,D,
20241,05288954,64,0,1,250,D,,A,13,D,25,D,
20241,05288954,65,0,1,260,D,,A,11,D,5,D,
20241,05289024,32,0,1,420,D,,A,11,D,200,D,
20241,05289024,33,0,1,367,D,1,D,13,D,40,D,
20241,05289024,34,0,1,190,D,1,D,12,D,500,D,
20241,05289024,35,0,1,190,D,1,D,11,D,22,D,
20241,05289044,51,0,1,250,D,,A,10,D,35,D,
20241,05289074,23,0,1,250,D,,A,13,D,100,D,
20241,05289114,35,0,1,420,D,,A,12,D,250,D,
20241,05289114,36,0,1,190,D,1,D,11,D,160,D,
20241,05289124,40,0,1,367,D,1,D,13,D,29,D,
20241,05289154,39,0,1,190,D,1,D,11,D,90,D,
20241,05289154,40,0,1,190,D,1,D,12,D,185,D,
20241,05289154,41,0,1,260,D,,A,10,D,15,D,
20241,05289204,34,0,1,190,D,1,D,12,D,100,D,
20241,05289224,22,0,1,140,D,,A,12,D,583,D,
20241,05289444,32,0,1,410,D,,A,12,D,20,D,
20241,05289444,33,0,1,190,D,1,D,12,D,99,D,
20241,05289464,17,0,1,140,D,,A,11,D,80,D,
20241,05289464,18,0,1,190,D,1,D,12,D,82,D,
20241,05289464,19,0,1,410,D,,A,11,D,25,D,
20241,05289464,20,0,1,420,D,,A,11,D,75,D,
20241,05289474,29,0,1,140,D,,A,12,D,400,D,
20241,05289494,57,0,1,190,D,1,D,12,D,102,D,
20241,05289494,58,0,1,250,D,,A,10,D,20,D,
20241,05289494,59,0,1,260,D,,A,13,D,20,D,
20241,05289494,60,0,2,190,D,1,D,10,D,80,D,
20241,05289494,61,0,2,250,D,,A,10,D,20,D,
20241,05289564,30,0,1,420,D,,A,11,D,150,D,
20241,05289574,40,0,1,190,D,2,D,11,D,35,D,2
20241,05289694,28,0,1,190,D,1,D,11,D,141,D,
20241,05289694,29,0,2,367,D,1,D,10,D,300,D,
20241,05289764,42,0,1,420,D,,A,12,D,700,D,
20241,05289764,43,0,1,220,D,,A,10,D,400,D,
20241,05289764,44,0,1,190,D,1,D,10,D,126,D,
20241,05289764,45,0,1,250,D,,A,13,D,220,D,
20241,05289774,35,0,1,367,D,1,D,13,D,50,D,
20241,05289774,36,0,2,367,D,1,D,10,D,125,D,
20241,05289864,37,0,1,410,D,,A,11,D,12,D,
20241,05289864,38,0,1,420,D,,A,11,D,94,D,
20241,05289864,39,0,1,420,D,,A,11,D,109,D,
20241,05289864,40,0,1,140,D,,A,12,D,262,D,
20241,05289864,41,0,1,190,D,1,D,10,D,325,D,
20241,05289894,23,0,1,420,D,,A,12,D,215,D,
20241,05289894,24,0,1,140,D,,A,11,D,600,D,
20241,05289904,36,0,1,140,D,,A,12,D,150,D,
20241,05290044,31,0,1,400,D,,A,10,D,40,D,
20241,05290054,19,0,1,190,D,1,D,12,D,58,D,
20241,05290094,40,0,1,900,D,,A,11,D,,H,
20241,05290094,40,1,1,210,D,,A,11,D,103,E,
20241,05290094,40,2,1,420,D,,A,11,D,147,E,
20241,05290104,20,0,1,190,D,1,D,12,D,124,D,
20241,05290184,23,0,1,260,D,,A,13,D,2,D,
20241,05290194,45,0,1,367,D,1,D,13,D,20,D,
20241,05290244,59,0,1,420,D,,A,12,D,60,D,
20241,05290244,60,0,1,140,D,,A,12,D,220,D,
20241,05290244,61,0,1,250,D,,A,12,D,70,D,
20241,05290244,62,0,1,260,D,,A,12,D,30,D,
20241,05290244,63,0,2,367,D,1,D,10,D,11,D,
20241,05290254,64,0,1,190,D,1,D,11,D,750,D,
20241,05290254,65,0,1,367,D,1,D,11,D,980,D,
20241,05290254,66,0,2,420,D,,A,10,D,270,D,
20241,05290254,67,0,2,420,D,,A,10,D,270,D,
20241,05290304,28,0,1,420,D,,A,11,D,45,D,
20241,05290384,22,0,1,250,D,,A,13,D,20,D,
20241,05290414,93,0,1,420,D,,A,12,D,87,D,
20241,05290414,94,0,1,367,D,1,D,12,D,250,D,
20241,05290414,95,0,1,190,D,1,D,12,D,120,D,
20241,05290414,96,0,1,190,D,1,D,11,D,140,D,
20241,05290414,97,0,1,250,D,,A,10,D,35,D,
20241,05290414,98,0,1,250,D,,A,11,D,28,D,
20241,05290414,99,0,1,250,D,,A,12,D,22,D,
20241,05290414,100,0,1,260,D,,A,11,D,140,D,
20241,05290414,101,0,1,260,D,,A,12,D,20,D,
20241,05290424,45,0,1,190,D,1,D,10,D,1900,D,
20241,05290444,19,0,1,190,D,1,D,11,D,44,D,
20241,05290514,54,0,1,410,D,,A,11,D,35,D,
20241,05290514,55,0,1,250,D,,A,11,D,20,D,
20241,05290514,56,0,1,260,D,,A,11,D,6,D,
20241,05290524,35,0,1,420,D,,A,12,D,100,D,
20241,05290524,36,0,1,420,D,,A,12,D,139,D,
20241,05290524,37,0,1,140,D,,A,11,D,20,D,2
20241,05290524,38,0,1,250,D,,A,11,D,28,D,
20241,05290644,24,0,1,420,D,,A,12,D,55,D,
20241,05290644,25,0,1,250,D,,A,13,D,25,D,
20241,05290644,26,0,1,260,D,,A,11,D,10,D,
20241,05290704,49,0,1,420,D,,A,11,D,50,D,
20241,05290704,50,0,1,190,D,2,D,12,D,32,D,
20241,05290734,21,0,2,400,D,,A,10,D,25,D,
20241,05290754,37,0,1,190,D,1,D,10,D,65,D,
20241,05290764,47,0,1,420,D,,A,10,D,70,D,
20241,05290764,48,0,1,420,D,,A,11,D,142,D,
20241,05290764,49,0,1,420,D,,A,12,D,140,D,
20241,05290764,50,0,1,210,D,,A,13,D,23,D,
20241,05290784,22,0,1,190,D,1,D,10,D,90,D,
20241,05290804,25,0,1,140,D,,A,12,D,220,D,2
20241,05290824,54,0,1,210,D,,A,11,D,292,D,
20241,05290924,60,0,1,420,D,,A,10,D,709,D,
20241,05290984,39,0,1,367,D,1,D,13,D,30,D,
20241,05290984,40,0,1,240,D,2,D,12,D,300,D,
20241,05291004,39,0,1,190,D,1,D,11,D,75,D,
20241,05291004,40,0,2,420,D,,A,10,D,151,D,
20241,05291044,36,0,1,220,D,,A,11,D,200,D,
20241,05291044,37,0,1,420,D,,A,11,D,167,D,
20241,05291074,45,0,1,190,D,1,D,10,D,500,D,
20241,05291074,46,0,1,250,D,,A,13,D,5,D,
20241,05291074,47,0,2,140,D,,A,10,D,400,D,
20241,05291084,21,0,1,400,D,,A,12,D,35,D,
20241,05291094,45,0,1,367,D,2,D,13,D,74,D,
20241,05291094,46,0,1,260,D,,A,11,D,2,F,
20241,05291094,47,0,1,250,D,,A,10,D,6,F,
20241,05291114,52,0,1,190,D,1,D,10,D,100,D,
20241,05291114,53,0,1,190,D,1,D,12,D,500,D,
20241,05291114,54,0,1,250,D,,A,13,D,50,D,
20241,05291154,31,0,1,410,D,,A,10,D,28,D,
20241,05291154,32,0,1,367,D,1,D,11,D,32,D,
20241,05291154,33,0,1,250,D,,A,11,D,24,D,
20241,05291184,59,0,1,900,D,,A,11,D,,H,
20241,05291184,59,1,1,190,D,,A,11,D,477,E,
20241,05291184,59,2,1,140,D,,A,11,D,2062,E,
20241,05291184,60,0,1,367,D,1,D,10,D,10,D,
20241,05291184,61,0,1,260,D,,A,12,D,2,D,
20241,05291274,44,0,1,250,D,,A,13,D,10,D,
20241,05291274,45,0,1,260,D,,A,12,D,120,D,
20241,05291294,37,0,1,367,D,1,D,13,D,50,D,
20241,05291324,56,0,1,190,D,1,D,12,D,885,D,
20241,05291324,57,0,1,250,D,,A,11,D,8,D,
20241,05291394,37,0,1,190,D,1,D,12,D,500,D,
20241,05291394,38,0,1,260,D,,A,12,D,10,D,
20241,05291414,43,0,1,190,D,1,D,11,D,750,D,
20241,05291494,55,0,1,410,D,,A,10,D,7,D,
20241,05291494,56,0,1,420,D,,A,10,D,250,D,
20241,05291494,57,0,1,210,D,,A,12,D,75,D,
20241,05291494,58,0,1,140,D,,A,12,D,350,D,2
20241,05291494,59,0,1,190,D,1,D,12,D,350,D,
20241,05291494,60,0,1,367,D,2,D,12,D,50,D,
20241,05291544,38,0,1,367,D,1,D,12,D,270,D,
20241,05291584,29,0,1,190,D,1,D,10,D,58,D,
20241,05291584,30,0,1,260,D,,A,12,D,36,D,
20241,05291664,21,0,1,190,D,2,D,12,D,40,D,
20241,05291664,22,0,2,190,D,1,D,10,D,70,D,
20241,05291674,59,0,1,420,D,,A,12,D,162,D,
20241,05291674,60,0,1,420,D,,A,12,D,155,D,
20241,05291674,61,0,1,410,D,,A,12,D,58,D,
20241,05291674,62,0,2,260,D,,A,10,D,300,D,
20241,05291694,59,0,1,367,D,1,D,13,D,30,D,
20241,05291694,60,0,1,140,D,,A,10,D,200,D,
20241,05291694,61,0,1,260,D,,A,12,D,90,D,
20241,05291714,39,0,1,190,D,1,D,11,D,90,D,
20241,05291714,40,0,1,190,D,2,D,11,D,25,D,
20241,05291754,29,0,1,250,D,,A,13,D,340,D,
20241,05291764,31,0,1,410,D,,A,10,D,10,D,
20241,05291764,32,0,1,420,D,,A,11,D,176,D,
20241,05291764,33,0,1,367,D,2,D,11,D,17,D,
20241,05291764,34,0,1,190,D,1,D,10,D,100,D,2
20241,05291764,35,0,1,260,D,,A,13,D,50,D,
20241,05291774,36,0,1,190,D,1,D,10,D,75,D,
20241,05291814,32,0,1,420,D,,A,11,D,5,D,
20241,05291814,33,0,1,190,D,1,D,11,D,365,D,
20241,05291894,38,0,1,900,D,,A,12,D,,H,
20241,05291894,38,1,1,190,D,,A,12,D,244,E,
20241,05291894,38,2,1,140,D,,A,12,D,1056,E,
20241,05291914,52,0,1,400,D,,A,12,D,50,D,
20241,05291914,53,0,1,367,D,1,D,13,D,20,D,
20241,05291914,54,0,1,190,D,1,D,11,D,920,D,
20241,05291914,55,0,1,250,D,,A,13,D,12,D,
20241,05291924,41,0,1,250,D,,A,12,D,6,D,
20241,05291924,42,0,1,260,D,,A,12,D,2,D,
20241,05292074,64,0,1,250,D,,A,11,D,10,D,
20241,05292094,45,0,1,420,D,,A,12,D,104,D,
20241,05292094,46,0,1,367,D,2,D,13,D,30,D,
20241,05292094,47,0,1,230,D,2,D,11,D,7500,D,
20241,05292094,48,0,1,230,D,2,D,12,D,5000,D,
20241,05292094,49,0,1,900,D,2,D,11,D,,H,
20241,05292094,49,1,1,230,D,2,D,11,D,1927,E,
20241,05292094,49,2,1,190,D,2,D,11,D,573,E,
20241,05292094,50,0,1,250,D,,A,11,D,30,D,
20241,05292094,51,0,1,250,D,,A,12,D,30,D,
20241,05292094,52,0,1,280,D,,A,11,D,50,D,
20241,05292094,53,0,1,280,D,,A,11,D,50,D,
20241,05292094,54,0,1,280,D,,A,12,D,50,D,
20241,05292094,55,0,2,280,D,,A,10,D,50,D,
20241,05292114,61,0,1,367,D,1,D,13,D,35,D,
20241,05292114,62,0,1,250,D,,A,13,D,25,D,
20241,05292114,63,0,1,280,D,,A,12,D,48,D,
20241,05292144,29,0,1,140,D,,A,11,D,450,D,
20241,05292144,30,0,1,190,D,1,D,12,D,275,D,
20241,05292254,46,0,1,410,D,,A,11,D,25,D,
20241,05292254,47,0,1,420,D,,A,11,D,200,D,
20241,05292254,48,0,1,250,D,,A,10,D,40,D,
20241,05292274,43,0,1,320,D,1,D,11,D,650,D,
20241,05292384,39,0,1,367,D,1,D,13,D,50,D,
20241,05292434,28,0,1,410,D,,A,12,D,30,D,
20241,05292434,29,0,1,420,D,,A,12,D,385,D,
20241,05292474,46,0,1,210,D,,A,10,D,102,D,
20241,05292514,46,0,1,420,D,,A,11,D,2200,D,
20241,05292514,47,0,1,250,D,,A,13,D,15,D,
20241,05292544,101,0,1,190,D,1,D,12,D,43,D,
20241,05292544,102,0,1,250,D,,A,12,D,22,D,
20241,05292644,33,0,1,190,D,1,D,12,D,179,D,
20241,05292644,34,0,1,420,D,,A,10,D,166,D,
20241,05292644,35,0,1,210,D,,A,11,D,65,D,
20241,05292644,36,0,1,260,D,,A,10,D,11,D,
20241,05292684,40,0,1,410,D,,A,12,D,35,D,
20241,05292794,50,0,1,420,D,,A,12,D,455,D,
20241,05292794,51,0,1,200,D,,A,12,D,750,D,
20241,05292824,44,0,1,190,D,1,D,11,D,2100,D,
20241,05292854,23,0,1,420,D,,A,12,D,46,D,
20241,05292854,24,0,1,420,D,,A,12,D,32,D,
20241,05292934,41,0,1,367,D,1,D,13,D,150,D,
20241,05292934,42,0,1,250,D,,A,10,D,20,D,
20241,05292934,43,0,2,250,D,,A,10,D,20,D,
20241,05292954,50,0,1,367,D,2,D,13,D,35,D,
20241,05292954,51,0,1,250,D,,A,12,D,40,D,
20241,05292984,30,0,1,367,D,1,D,13,D,22,D,
20241,05292984,31,0,1,250,D,,A,12,D,22,D,
20241,05292994,26,0,1,250,D,,A,11,D,10,D,
20241,05293274,33,0,1,190,D,1,D,12,D,175,D,
20241,05293274,34,0,1,367,D,1,D,13,D,73,D,
20241,05293374,39,0,1,190,D,1,D,11,D,70,D,2
20241,05293434,66,0,1,190,D,1,D,11,D,110,D,
20241,05293434,67,0,1,140,D,,A,11,D,50,D,
20241,05293434,68,0,1,190,D,2,D,11,D,45,D,
20241,05293524,34,0,1,190,D,1,D,12,D,169,D,2
20241,05293524,35,0,1,367,D,1,D,12,D,80,D,
20241,05293524,36,0,1,250,D,,A,13,D,40,D,
20241,05293554,48,0,1,410,D,,A,10,D,30,D,
20241,05293554,49,0,1,420,D,,A,10,D,200,D,
20241,05293554,50,0,1,367,D,1,D,10,D,16,D,
20241,05293554,51,0,1,367,D,1,D,12,D,56,D,
20241,05293554,52,0,1,190,D,1,D,12,D,100,D,
20241,05293574,22,0,1,420,D,,A,10,D,450,D,
20241,05293574,23,0,1,190,D,,A,11,D,2000,D,
20241,05293574,24,0,1,367,D,1,D,13,D,35,D,
20241,05293574,25,0,1,140,D,,A,10,D,500,D,
20241,05293574,26,0,1,190,D,1,D,10,D,90,D,
20241,05293574,27,0,1,190,D,1,D,12,D,90,D,
20241,05293594,19,0,1,190,D,1,D,11,D,60,D,
20241,05293604,47,0,1,367,D,1,D,12,D,30,D,
20241,05293604,48,0,1,367,D,1,D,10,D,30,D,
20241,05293604,49,0,1,190,D,1,D,12,D,89,D,
20241,05293604,50,0,1,190,D,1,D,11,D,89,D,
20241,05293604,51,0,1,320,D,1,D,11,D,1800,D,
20241,05293634,41,0,2,190,D,1,D,10,D,80,D,
20241,05293644,35,0,1,190,D,2,D,10,D,145,F,
20241,05293644,36,0,2,190,D,2,D,10,D,80,D,
20241,05293684,33,0,1,190,D,1,D,10,D,45,D,
20241,05293684,34,0,1,140,D,,A,12,D,550,D,
20241,05293684,35,0,2,190,D,1,D,10,D,85,D,
20241,05293694,67,0,1,260,D,,A,10,D,33,D,
20241,05293694,68,0,1,260,D,,A,11,D,11,D,
20241,05293694,69,0,1,260,D,,A,12,D,2,D,
20241,05293784,41,0,1,367,D,1,D,10,D,35,D,
20241,05293784,42,0,1,190,D,1,D,10,D,165,D,
20241,05293784,43,0,1,250,D,,A,12,D,50,D,
20241,05293784,44,0,1,260,D,,A,12,D,70,D,
20241,05293824,15,0,1,367,D,1,D,13,D,60,D,
20241,05293824,16,0,1,190,D,1,D,11,D,75,D,
20241,05293844,37,0,1,190,D,2,D,11,D,20,D,
20241,05293844,38,0,2,190,D,2,D,10,D,345,D,
20241,05293854,41,0,1,410,D,,A,11,D,25,D,
20241,05293854,42,0,1,367,D,1,D,13,D,50,D,
20241,05293874,50,0,1,210,D,,A,12,D,123,D,
20241,05293894,42,0,1,900,D,1,D,11,D,,H,
20241,05293894,42,1,1,140,D,1,D,11,D,343,E,
20241,05293894,42,2,1,230,D,1,D,11,D,268,E,
20241,05293894,42,3,1,190,D,1,D,11,D,79,E,
20241,05293954,71,0,1,140,D,,A,11,D,912,D,
20241,05293954,72,0,1,190,D,1,D,11,D,734,D,2
20241,05293954,73,0,1,260,D,,A,10,D,29,D,
20241,05293954,74,0,1,260,D,,A,11,D,60,D,
20241,05293954,75,0,1,260,D,,A,12,D,18,D,
20241,05293984,25,0,1,220,D,,A,10,D,200,D,
20241,05294024,25,0,1,420,D,,A,12,D,550,D,
20241,05294074,46,0,1,190,D,1,D,11,D,90,D,
20241,05294074,47,0,1,320,D,1,D,11,D,1300,D,
20241,05294084,47,0,1,400,D,,A,11,D,26,F,
20241,05294084,48,0,1,190,D,1,D,11,D,230,D,
20241,05294084,49,0,1,260,D,,A,11,D,10,D,
20241,05294084,50,0,2,190,D,1,D,10,D,260,D,
20241,05294124,38,0,1,190,D,2,D,11,D,120,D,
20241,05294214,44,0,1,190,D,1,D,11,D,210,D,
20241,05294214,45,0,1,140,D,,A,12,D,1800,D,
20241,05294214,46,0,2,260,D,,A,10,D,5,D,
20241,05294254,45,0,1,367,D,1,D,10,D,9,D,
20241,05294254,46,0,1,190,D,1,D,10,D,70,D,
20241,05294254,47,0,1,190,D,1,D,12,D,70,D,
20241,05294254,48,0,1,320,D,1,D,10,D,80,D,
20241,05294254,49,0,2,190,D,1,D,10,D,100,D,
20241,05294284,28,0,1,367,D,1,D,13,D,35,D,
20241,05294314,52,0,1,420,D,,A,12,D,243,D,
20241,05294314,53,0,1,420,D,,A,11,D,120,D,
20241,05294314,54,0,1,210,D,,A,13,D,20,D,
20241,05294314,55,0,1,210,D,,A,13,D,30,D,
20241,05294314,56,0,1,367,D,1,D,12,D,28,D,
20241,05294394,65,0,1,420,D,,A,12,D,249,D,
20241,05294394,66,0,1,367,D,1,D,13,D,47,D,
20241,05294474,31,0,1,250,D,,A,13,D,10,D,
20241,05294544,24,0,1,190,D,1,D,12,D,1590,D,
20241,05294694,28,0,1,420,D,,A,12,D,250,D,
20241,05294704,36,0,1,190,D,1,D,11,D,146,D,
20241,05294774,33,0,1,190,D,1,D,12,D,90,D,
20241,05294844,27,0,1,367,D,1,D,11,D,28,D,
20241,05294854,45,0,1,190,D,1,D,10,D,743,D,2
20241,05294854,46,0,1,260,D,,A,12,D,6,D,
20241,05294864,82,0,1,400,D,,A,11,D,60,D,
20241,05294864,83,0,1,420,D,,A,12,D,1200,D,
20241,05294864,84,0,1,367,D,2,D,13,D,20,D,
20241,05294864,85,0,1,190,D,1,D,11,D,110,D,
20241,05294864,86,0,1,260,D,,A,10,D,15,D,
20241,05294924,85,0,1,410,D,,A,12,D,30,D,
20241,05294924,86,0,1,210,D,,A,11,D,50,D,
20241,05294924,87,0,1,140,D,,A,11,D,300,D,
20241,05294924,88,0,1,190,D,1,D,12,D,700,D,
20241,05294924,89,0,1,250,D,,A,13,D,60,D,
20241,05294924,90,0,1,260,D,,A,13,D,10,D,
20241,05294924,91,0,1,260,D,,A,12,D,40,D,
20241,05294944,25,0,1,420,D,,A,12,D,168,D,
20241,05294994,10,0,1,250,D,,A,11,D,25,D,
20241,05295014,28,0,1,190,D,1,D,12,D,44,D,
20241,05295014,29,0,1,260,D,,A,13,D,7,D,
20241,05295034,29,0,1,190,D,2,D,10,D,60,D,
20241,05295104,81,0,1,420,D,,A,10,D,183,D,
20241,05295104,82,0,1,250,D,,A,10,D,22,D,
20241,05295134,34,0,1,190,D,1,D,11,D,120,D,
20241,05295204,27,0,1,367,D,1,D,11,D,20,D,
20241,05295204,28,0,1,250,D,,A,13,D,20,D,
20241,05295234,25,0,1,367,D,1,D,13,D,50,D,
20241,05295384,52,0,1,367,D,1,D,13,D,30,D,
20241,05295384,53,0,2,190,D,1,D,10,D,100,D,
20241,05295414,55,0,1,190,D,1,D,10,D,40,D,
20241,05295414,56,0,1,320,D,1,D,12,D,700,D,
20241,05295474,47,0,2,190,D,1,D,10,D,400,D,
20241,05295484,13,0,1,190,D,1,D,12,D,123,D,
20241,05295534,48,0,1,420,D,,A,12,D,450,D,
20241,05295534,49,0,1,367,D,1,D,10,D,50,D,
20241,05295554,40,0,1,420,D,,A,11,D,66,D,
20241,05295554,41,0,1,420,D,,A,12,D,66,D,
20241,05295554,42,0,1,190,D,1,D,12,D,120,D,
20241,05295554,43,0,1,250,D,,A,13,D,15,D,
20241,05295554,44,0,1,260,D,,A,13,D,10,D,
20241,05295554,45,0,2,260,D,,A,10,D,6,D,
20241,05295564,107,0,1,410,D,,A,11,D,25,D,
20241,05295564,108,0,1,420,D,,A,12,D,280,D,
20241,05295564,109,0,1,420,D,,A,11,D,105,D,
20241,05295564,110,0,1,140,D,,A,10,D,910,D,
20241,05295564,111,0,1,190,D,1,D,12,D,75,D,2
20241,05295564,112,0,1,367,D,1,D,13,D,20,D,
20241,05295564,113,0,1,367,D,1,D,13,D,25,D,
20241,05295564,114,0,1,320,D,1,D,12,D,800,D,2
20241,05295584,35,0,1,367,D,1,D,13,D,22,D,
20241,05295584,36,0,1,140,D,,A,10,D,960,D,
20241,05295584,37,0,1,190,D,1,D,11,D,40,D,
