QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,WIGSX,WIGSX_,JMLPAYQV,JMLP_YQV
20241,05290424,46,0,1,,A,,A,,A,,A,,A,,A,1200,D,,A,,A
20241,05290444,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290504,25,0,1,,A,,A,35,D,,A,,A,,A,150,D,,A,,A
20241,05290514,57,0,1,,A,,A,,A,,A,,A,,A,410,D,,A,,A
20241,05290524,39,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05290534,57,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05290544,23,0,1,,A,,A,,A,27,D,,A,,A,,A,,A,,A
20241,05290554,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290624,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290644,28,0,1,,A,40,D,,A,,A,0,D,,A,200,D,,A,,A
20241,05290704,51,0,1,,A,,A,,A,,A,,A,,A,66,D,,A,,A
20241,05290714,13,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20241,05290734,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290754,38,0,1,,A,,A,,A,,A,,A,,A,70,D,,A,,A
20241,05290764,51,0,1,,A,,A,,A,,A,,A,,A,45,D,,A,,A
20241,05290784,23,0,1,,A,,A,,A,90,D,,A,,A,130,D,,A,,A
20241,05290804,26,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05290824,55,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20241,05290884,29,0,1,,A,,A,,A,,A,,A,,A,115,D,,A,,A
20241,05290914,39,0,1,,A,,A,,A,,A,,A,,A,,A,,A,100,D
20241,05290924,61,0,1,,A,,A,,A,,A,,A,30,D,60,D,,A,,A
20241,05290964,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290984,41,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05290994,38,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20241,05291004,43,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20241,05291014,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291044,38,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20241,05291074,50,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05291084,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291094,50,0,1,,A,,A,,A,720,D,,A,,A,320,D,,A,,A
20241,05291114,55,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20241,05291124,37,0,1,,A,,A,5,D,45,D,,A,45,D,130,D,,A,,A
20241,05291154,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291184,62,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291214,16,0,1,,A,,A,,A,240,D,,A,,A,35,D,,A,,A
20241,05291274,46,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05291294,38,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20241,05291324,58,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20241,05291394,39,0,1,,A,,A,,A,,A,,A,9,D,,A,,A,,A
20241,05291414,44,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20241,05291424,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291434,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291484,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291494,62,0,1,15,D,,A,,A,0,D,,A,,A,100,D,,A,,A
20241,05291534,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291544,39,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A
20241,05291584,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291664,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291674,63,0,1,,A,,A,,A,,A,,A,45,D,,A,,A,,A
20241,05291694,62,0,1,,A,,A,,A,,A,,A,,A,610,D,,A,,A
20241,05291714,41,0,1,,A,,A,,A,,A,,A,,A,0,D,,A,,A
20241,05291754,30,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05291764,36,0,1,,A,,A,,A,,A,,A,18,D,,A,,A,2000,D
20241,05291774,37,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05291814,34,0,1,,A,,A,,A,120,D,,A,,A,,A,,A,,A
20241,05291824,32,0,1,,A,,A,,A,,A,,A,192,D,,A,,A,,A
20241,05291884,22,0,1,,A,,A,,A,,A,,A,,A,70,D,,A,1250,D
20241,05291894,39,0,1,,A,,A,,A,,A,,A,,A,90,D,,A,,A
20241,05291914,56,0,1,,A,,A,,A,,A,,A,,A,340,D,,A,,A
20241,05291924,43,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05291974,26,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05292004,13,0,1,,A,,A,,A,,A,,A,,A,90,D,,A,,A
20241,05292074,65,0,1,,A,,A,,A,,A,180,D,,A,250,D,,A,,A
20241,05292084,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292094,56,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292114,64,0,1,,A,,A,,A,,A,,A,,A,400,D,,A,,A
20241,05292144,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292184,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292234,26,0,1,,A,,A,,A,,A,200,D,,A,250,D,,A,,A
20241,05292254,49,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292274,44,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20241,05292294,21,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05292314,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292384,40,0,1,,A,,A,,A,,A,,A,,A,400,D,,A,,A
20241,05292434,30,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20241,05292444,31,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05292454,9,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292474,47,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20241,05292494,37,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20241,05292514,48,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292544,104,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292644,37,0,1,,A,,A,,A,56,D,,A,,A,110,D,,A,39,D
20241,05292674,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292684,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292794,52,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292824,45,0,1,,A,,A,,A,,A,,A,,A,360,D,,A,,A
20241,05292834,32,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292844,39,0,1,,A,,A,70,D,,A,,A,,A,400,D,,A,,A
20241,05292854,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292894,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292914,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292934,44,0,1,,A,,A,,A,,A,,A,,A,290,D,,A,,A
20241,05292954,52,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20241,05292984,32,0,1,1,D,,A,,A,0,D,,A,,A,75,D,,A,,A
20241,05292994,27,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05293014,67,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A
20241,05293074,35,0,1,,A,,A,,A,,A,,A,90,D,300,D,,A,,A
20241,05293084,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293184,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293254,19,0,1,,A,,A,99,D,,A,,A,,A,45,D,,A,,A
20241,05293274,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293324,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293344,14,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293374,40,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293424,38,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20241,05293434,69,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293524,37,0,1,,A,,A,,A,,A,,A,,A,340,D,,A,,A
20241,05293534,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293554,53,0,1,,A,,A,20,D,,A,25,D,,A,270,D,,A,,A
20241,05293574,28,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05293594,20,0,1,,A,,A,,A,55,D,,A,,A,,A,,A,,A
20241,05293604,53,0,1,,A,,A,,A,,A,,A,,A,90,D,160,D,,A
20241,05293634,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293644,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293674,60,0,1,,A,,A,,A,,A,,A,,A,350,D,,A,,A
20241,05293684,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293694,70,0,1,,A,,A,,A,,A,,A,,A,96,D,,A,,A
20241,05293774,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293784,45,0,1,,A,,A,,A,,A,150,D,,A,600,D,,A,,A
20241,05293824,17,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20241,05293844,39,0,1,,A,,A,,A,480,D,,A,,A,20,D,,A,,A
20241,05293854,43,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A
20241,05293874,51,0,1,,A,38,D,,A,,A,10,D,,A,439,D,,A,,A
20241,05293894,43,0,1,10,D,,A,,A,50,D,,A,,A,,A,,A,,A
20241,05293954,76,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05293984,26,0,1,,A,20,D,,A,,A,45,D,30,D,,A,,A,,A
20241,05294024,26,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20241,05294074,48,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20241,05294084,52,0,1,,A,,A,,A,,A,75,D,,A,35,D,,A,,A
20241,05294114,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294124,39,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,325,D
20241,05294164,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294214,47,0,1,,A,,A,,A,,A,,A,600,D,600,D,,A,,A
20241,05294254,50,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294284,29,0,1,,A,,A,,A,,A,,A,,A,500,D,,A,,A
20241,05294314,57,0,1,,A,,A,,A,,A,,A,,A,310,D,,A,,A
20241,05294394,67,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05294434,16,0,1,,A,,A,,A,50,D,,A,,A,,A,,A,,A
20241,05294474,32,0,1,,A,,A,,A,90,D,,A,,A,,A,,A,,A
20241,05294484,21,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294504,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294514,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294544,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294564,38,0,1,,A,,A,10,D,,A,,A,,A,,A,,A,,A
20241,05294594,32,0,1,,A,,A,,A,,A,,A,,A,80,D,,A,,A
20241,05294664,49,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05294694,29,0,1,45,D,,A,,A,45,D,,A,3,F,,A,,A,,A
20241,05294704,37,0,1,,A,,A,,A,,A,,A,,A,190,D,,A,,A
20241,05294774,34,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20241,05294794,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294834,17,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20241,05294844,28,0,1,,A,,A,,A,,A,,A,48,D,210,D,,A,,A
20241,05294854,47,0,1,,A,,A,,A,,A,,A,,A,514,D,,A,,A
20241,05294864,87,0,1,,A,,A,,A,,A,,A,,A,205,D,,A,,A
20241,05294924,93,0,1,,A,,A,,A,,A,30,D,15,D,1400,D,,A,,A
20241,05294944,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294994,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295014,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295034,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295104,83,0,1,,A,,A,,A,,A,,A,,A,110,D,,A,,A
20241,05295134,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295204,29,0,1,,A,,A,,A,,A,15,D,,A,70,D,,A,,A
20241,05295214,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295234,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295254,33,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295344,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295384,54,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295414,57,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20241,05295474,49,0,1,,A,,A,,A,,A,,A,210,D,,A,,A,,A
20241,05295484,14,0,1,,A,,A,,A,,A,,A,,A,34,D,,A,,A
20241,05295514,41,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20241,05295534,50,0,1,,A,,A,,A,,A,,A,450,D,,A,,A,,A
20241,05295554,47,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295564,115,0,1,30,D,,A,,A,60,D,90,D,18,D,25,D,20,D,,A
20241,05295584,39,0,1,,A,,A,,A,,A,,A,,A,20,D,,A,,A
20241,05295624,43,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05295634,56,0,1,,A,,A,,A,,A,60,D,,A,275,D,,A,,A
20241,05295644,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295734,48,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05295744,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295754,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295774,43,0,1,,A,,A,,A,,A,,A,90,D,,A,,A,,A
20241,05295834,54,0,1,,A,,A,,A,,A,50,D,15,D,300,D,,A,,A
20241,05295894,10,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295924,27,0,1,,A,,A,,A,,A,,A,,A,156,D,,A,,A
20241,05295964,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295974,68,0,1,,A,,A,,A,,A,,A,,A,555,D,,A,,A
20241,05295984,31,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20241,05295994,25,0,1,,A,,A,,A,,A,,A,18,D,30,D,,A,,A
20241,05296064,48,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05296104,72,0,1,,A,,A,,A,,A,,A,,A,250,D,,A,,A
20241,05296214,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05296254,57,0,1,,A,,A,,A,,A,25,D,,A,150,D,,A,,A
20241,05296264,65,0,1,,A,,A,,A,,A,12,D,18,D,,A,,A,,A
20241,05296274,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05296314,45,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05296324,34,0,1,,A,,A,,A,60,D,20,D,,A,40,D,,A,,A
20241,05296334,89,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05296384,49,0,1,,A,,A,,A,,A,75,D,,A,,A,,A,,A
20241,05296394,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05296414,33,0,1,,A,,A,,A,,A,,A,,A,70,D,,A,,A
20241,05296424,21,0,1,,A,,A,,A,120,D,,A,195,F,,A,,A,,A
